Year,Sport,Gender,Scores,Rank,School
2006,Outdoor Track & Field,Men,2,9,Knox College
2006,Baseball,Men,5.5,5,Knox College
2006,Total,Men,33,10,Knox College
2006,Football,Men,6,5,Lake Forest College
2006,Soccer,Men,5,6,Lake Forest College
2006,Cross Country,Men,3,8,Lake Forest College
2006,Basketball,Men,7,4,Lake Forest College
2006,Swimming,Men,8,3,Lake Forest College
2006,Tennis,Men,6,5,Lake Forest College
2006,Total,Men,35,9,Lake Forest College
2006,Football,Men,4.5,6,Lawrence University
2006,Soccer,Men,6.5,4,Lawrence University
2006,Cross Country,Men,5,6,Lawrence University
2006,Basketball,Men,6,5,Lawrence University
2006,Swimming,Men,7,4,Lawrence University
2006,Indoor Track & Field,Men,3,8,Lawrence University
2006,Tennis,Men,4,7,Lawrence University
2006,Outdoor Track & Field,Men,3,8,Lawrence University
2006,Baseball,Men,3.5,7,Lawrence University
2006,Total,Men,47.5,6,Lawrence University
2006,Football,Men,8.5,2,Monmouth College
2006,Soccer,Men,3,8,Monmouth College
2006,Cross Country,Men,9.5,1,Monmouth College
2006,Basketball,Men,4,7,Monmouth College
2006,Swimming,Men,9,2,Monmouth College
2006,Indoor Track & Field,Men,10,1,Monmouth College
2006,Tennis,Men,7,4,Monmouth College
2006,Outdoor Track & Field,Men,10,1,Monmouth College
2006,Baseball,Men,8,3,Monmouth College
2006,Total,Men,79,1,Monmouth College
2006,Football,Men,8.5,2,Ripon College
2006,Soccer,Men,2,9,Ripon College
2006,Cross Country,Men,6,5,Ripon College
2006,Basketball,Men,8,3,Ripon College
2006,Swimming,Men,4,7,Ripon College
2006,Indoor Track & Field,Men,5,6,Ripon College
2006,Tennis,Men,9,2,Ripon College
2006,Outdoor Track & Field,Men,5,6,Ripon College
2006,Baseball,Men,10,1,Ripon College
2006,Total,Men,61.5,4,Ripon College
2006,Football,Men,10,1,St. Norbert College
2006,Soccer,Men,9,2,St. Norbert College
2006,Cross Country,Men,8,3,St. Norbert College
2006,Basketball,Men,5,6,St. Norbert College
2006,Indoor Track & Field,Men,8,3,St. Norbert College
2006,Tennis,Men,8,3,St. Norbert College
2006,Outdoor Track & Field,Men,8,3,St. Norbert College
2006,Baseball,Men,9,2,St. Norbert College
2006,Total,Men,71,3,St. Norbert College
2006,Volleyball,Women,10,1,Beloit College
2006,Soccer,Women,5,6,Beloit College
2006,Cross Country,Women,8,3,Beloit College
2006,Tennis,Women,7,4,Beloit College
2006,Basketball,Women,6,5,Beloit College
2006,Swimming,Women,5,6,Beloit College
2006,Indoor Track & Field,Women,7,4,Beloit College
2006,Outdoor Track & Field,Women,8,3,Beloit College
2006,Total,Women,59.5,5,Beloit College
2006,Volleyball,Women,7.5,2,Carroll University
2006,Soccer,Women,9,2,Carroll University
2006,Cross Country,Women,4,7,Carroll University
2006,Tennis,Women,5,6,Carroll University
2006,Basketball,Women,9,2,Carroll University
2006,Swimming,Women,8,3,Carroll University
2006,Indoor Track & Field,Women,9,2,Carroll University
2006,Outdoor Track & Field,Women,9,2,Carroll University
2006,Total,Women,66,3,Carroll University
2006,Volleyball,Women,1,10,Grinnell College
2006,Soccer,Women,10,1,Grinnell College
2006,Cross Country,Women,10,1,Grinnell College
2006,Tennis,Women,10,1,Grinnell College
2006,Basketball,Women,3,7,Grinnell College
2006,Swimming,Women,10,1,Grinnell College
2006,Indoor Track & Field,Women,5,6,Grinnell College
2006,Outdoor Track & Field,Women,5,6,Grinnell College
2006,Total,Women,66.5,2,Grinnell College
2006,Volleyball,Women,7.5,2,Illinois College
2006,Soccer,Women,3,7,Illinois College
2006,Cross Country,Women,2,9,Illinois College
2006,Tennis,Women,0,10,Illinois College
2006,Basketball,Women,3,7,Illinois College
2006,Indoor Track & Field,Women,6,5,Illinois College
2006,Outdoor Track & Field,Women,4,7,Illinois College
2006,Total,Women,42.5,9,Illinois College
2006,Volleyball,Women,2,9,Knox College
2006,Soccer,Women,1,10,Knox College
2006,Cross Country,Women,1,10,Knox College
2006,Tennis,Women,3,8,Knox College
2006,Basketball,Women,1,10,Knox College
2006,Swimming,Women,2,9,Knox College
2006,Indoor Track & Field,Women,2,9,Knox College
2006,Outdoor Track & Field,Women,2,9,Knox College
2006,Total,Women,20.5,10,Knox College
2006,Volleyball,Women,7.5,2,Lake Forest College
2006,Soccer,Women,7,4,Lake Forest College
2006,Cross Country,Women,7,4,Lake Forest College
2006,Tennis,Women,8,3,Lake Forest College
2006,Basketball,Women,10,1,Lake Forest College
2006,Swimming,Women,6,5,Lake Forest College
2006,Total,Women,54.5,6,Lake Forest College
2006,Volleyball,Women,3,8,Lawrence University
2006,Soccer,Women,3,7,Lawrence University
2006,Cross Country,Women,3,8,Lawrence University
2006,Tennis,Women,6,5,Lawrence University
2006,Basketball,Women,7.5,3,Lawrence University
2006,Swimming,Women,9,2,Lawrence University
2006,Indoor Track & Field,Women,3,8,Lawrence University
2006,Outdoor Track & Field,Women,3,8,Lawrence University
2006,Total,Women,43,8,Lawrence University
2006,Volleyball,Women,5,6,Monmouth College
2006,Soccer,Women,6,5,Monmouth College
2006,Cross Country,Women,6,5,Monmouth College
2006,Tennis,Women,4,7,Monmouth College
2006,Basketball,Women,5,6,Monmouth College
2006,Swimming,Women,7,4,Monmouth College
2006,Indoor Track & Field,Women,10,1,Monmouth College
2006,Outdoor Track & Field,Women,10,1,Monmouth College
2006,Total,Women,65.5,4,Monmouth College
2006,Volleyball,Women,4,7,Ripon College
2006,Soccer,Women,3,7,Ripon College
2006,Cross Country,Women,9,2,Ripon College
2006,Tennis,Women,2,9,Ripon College
2006,Basketball,Women,3,7,Ripon College
2006,Swimming,Women,4,7,Ripon College
2006,Indoor Track & Field,Women,4,7,Ripon College
2006,Outdoor Track & Field,Women,7,4,Ripon College
2006,Total,Women,50,7,Ripon College
2006,Volleyball,Women,7.5,2,St. Norbert College
2006,Soccer,Women,8,3,St. Norbert College
2006,Cross Country,Women,5,6,St. Norbert College
2006,Tennis,Women,9,2,St. Norbert College
2006,Basketball,Women,7.5,3,St. Norbert College
2006,Swimming,Women,3,8,St. Norbert College
2006,Indoor Track & Field,Women,8,3,St. Norbert College
2006,Outdoor Track & Field,Women,6,5,St. Norbert College
2006,Total,Women,72,1,St. Norbert College
2007,Football,Men,1.5,9,Beloit College
2007,Soccer,Men,6.5,4,Beloit College
2007,Cross Country,Men,4.5,6,Beloit College
2007,Basketball,Men,1,10,Beloit College
2007,Swimming,Men,4,7,Beloit College
2007,Indoor Track & Field,Men,4,7,Beloit College
2007,Tennis,Men,2,9,Beloit College
2007,Outdoor Track & Field,Men,4,7,Beloit College
2007,Baseball,Men,2,9,Beloit College
2007,Total,Men,31.5,10,Beloit College
2007,Football,Men,6.5,4,Carroll University
2007,Soccer,Men,9,2,Carroll University
2007,Cross Country,Men,6,5,Carroll University
2007,Basketball,Men,7.5,3,Carroll University
2007,Swimming,Men,6,5,Carroll University
2007,Indoor Track & Field,Men,7.5,3,Carroll University
2007,Tennis,Men,4,7,Carroll University
2007,Outdoor Track & Field,Men,7,4,Carroll University
2007,Baseball,Men,5,5,Carroll University
2007,Total,Men,64.5,4,Carroll University
2007,Football,Men,1.5,9,Grinnell College
2007,Soccer,Men,8,3,Grinnell College
2007,Cross Country,Men,10,1,Grinnell College
2007,Basketball,Men,9,2,Grinnell College
2007,Swimming,Men,10,1,Grinnell College
2007,Indoor Track & Field,Men,5,6,Grinnell College
2007,Tennis,Men,10,1,Grinnell College
2007,Outdoor Track & Field,Men,6,5,Grinnell College
2007,Baseball,Men,5,5,Grinnell College
2007,Total,Men,72.5,2,Grinnell College
2007,Football,Men,4.5,6,Illinois College
2007,Soccer,Men,1.5,9,Illinois College
2007,Cross Country,Men,1.5,9,Illinois College
2007,Basketball,Men,2,9,Illinois College
2007,Swimming,Men,2,9,Illinois College
2007,Indoor Track & Field,Men,9,2,Illinois College
2007,Tennis,Men,1,10,Illinois College
2007,Outdoor Track & Field,Men,9,2,Illinois College
2007,Baseball,Men,5,5,Illinois College
2007,Total,Men,38.5,8,Illinois College
2007,Football,Men,3,8,Knox College
2007,Soccer,Men,3,8,Knox College
2007,Cross Country,Men,3,8,Knox College
2007,Basketball,Men,5,5,Knox College
2007,Swimming,Men,3,8,Knox College
2007,Indoor Track & Field,Men,3,8,Knox College
2007,Tennis,Men,3,8,Knox College
2007,Outdoor Track & Field,Men,3,8,Knox College
2007,Baseball,Men,10,1,Knox College
2007,Total,Men,46,7,Knox College
2007,Football,Men,6.5,4,Lake Forest College
2007,Soccer,Men,4,7,Lake Forest College
2007,Cross Country,Men,4.5,6,Lake Forest College
2007,Basketball,Men,5,5,Lake Forest College
2007,Swimming,Men,8,3,Lake Forest College
2007,Tennis,Men,9,2,Lake Forest College
2007,Total,Men,37,9,Lake Forest College
2007,Football,Men,4.5,6,Lawrence University
2007,Soccer,Men,6.5,4,Lawrence University
2007,Cross Country,Men,1.5,9,Lawrence University
2007,Basketball,Men,10,1,Lawrence University
2007,Swimming,Men,7,4,Lawrence University
2007,Indoor Track & Field,Men,2,9,Lawrence University
2007,Tennis,Men,7,4,Lawrence University
2007,Outdoor Track & Field,Men,2,9,Lawrence University
2007,Baseball,Men,3,8,Lawrence University
2007,Total,Men,49.5,6,Lawrence University
2007,Football,Men,8.5,2,Monmouth College
2007,Soccer,Men,1.5,9,Monmouth College
2007,Cross Country,Men,8,3,Monmouth College
2007,Basketball,Men,5,5,Monmouth College
2007,Swimming,Men,9,2,Monmouth College
2007,Indoor Track & Field,Men,10,1,Monmouth College
2007,Tennis,Men,6,5,Monmouth College
2007,Outdoor Track & Field,Men,10,1,Monmouth College
2007,Baseball,Men,7,4,Monmouth College
2007,Total,Men,74,1,Monmouth College
2007,Football,Men,8.5,2,Ripon College
2007,Soccer,Men,5,6,Ripon College
2007,Cross Country,Men,7,4,Ripon College
2007,Basketball,Men,3,8,Ripon College
2007,Swimming,Men,5,6,Ripon College
2007,Indoor Track & Field,Men,6,5,Ripon College
2007,Tennis,Men,5,6,Ripon College
2007,Outdoor Track & Field,Men,5,6,Ripon College
2007,Baseball,Men,9,2,Ripon College
2007,Total,Men,59.5,5,Ripon College
2007,Football,Men,10,1,St. Norbert College
2007,Soccer,Men,10,1,St. Norbert College
2007,Cross Country,Men,9,2,St. Norbert College
2007,Basketball,Men,7.5,3,St. Norbert College
2007,Indoor Track & Field,Men,7.5,3,St. Norbert College
2007,Tennis,Men,8,3,St. Norbert College
2007,Outdoor Track & Field,Men,8,3,St. Norbert College
2007,Baseball,Men,8,3,St. Norbert College
2007,Total,Men,72,3,St. Norbert College
2007,Volleyball,Women,7,3,Beloit College
2007,Soccer,Women,5,6,Beloit College
2007,Cross Country,Women,7,4,Beloit College
2007,Tennis,Women,6,5,Beloit College
2007,Basketball,Women,7.5,3,Beloit College
2007,Swimming,Women,7,4,Beloit College
2007,Indoor Track & Field,Women,6,5,Beloit College
2007,Outdoor Track & Field,Women,7,4,Beloit College
2007,Total,Women,54,5,Beloit College
2007,Volleyball,Women,9.5,1,Carroll University
2007,Soccer,Women,10,1,Carroll University
2007,Cross Country,Women,9,2,Carroll University
2007,Tennis,Women,8,3,Carroll University
2007,Basketball,Women,7.5,3,Carroll University
2007,Swimming,Women,3,8,Carroll University
2007,Indoor Track & Field,Women,9,2,Carroll University
2007,Outdoor Track & Field,Women,9,2,Carroll University
2007,Total,Women,74.5,2,Carroll University
2007,Volleyball,Women,4,7,Grinnell College
2007,Soccer,Women,7,4,Grinnell College
2007,Cross Country,Women,10,1,Grinnell College
2007,Tennis,Women,10,1,Grinnell College
2007,Basketball,Women,4.5,6,Grinnell College
2007,Swimming,Women,10,1,Grinnell College
2007,Indoor Track & Field,Women,7,4,Grinnell College
2007,Outdoor Track & Field,Women,6,5,Grinnell College
2007,Total,Women,68,4,Grinnell College
2007,Volleyball,Women,2,9,Illinois College
2007,Soccer,Women,2,9,Illinois College
2007,Cross Country,Women,1,10,Illinois College
2007,Tennis,Women,1,10,Illinois College
2007,Basketball,Women,4.5,6,Illinois College
2007,Swimming,Women,1,10,Illinois College
2007,Indoor Track & Field,Women,5,6,Illinois College
2007,Outdoor Track & Field,Women,4,7,Illinois College
2007,Total,Women,36,9,Illinois College
2007,Volleyball,Women,1,10,Knox College
2007,Soccer,Women,1,10,Knox College
2007,Cross Country,Women,2,9,Knox College
2007,Tennis,Women,2,9,Knox College
2007,Basketball,Women,1.5,9,Knox College
2007,Swimming,Women,2,9,Knox College
2007,Indoor Track & Field,Women,2,9,Knox College
2007,Outdoor Track & Field,Women,2,9,Knox College
2007,Total,Women,24,10,Knox College
2007,Volleyball,Women,5,6,Lake Forest College
2007,Soccer,Women,8,3,Lake Forest College
2007,Cross Country,Women,3,8,Lake Forest College
2007,Tennis,Women,7,4,Lake Forest College
2007,Basketball,Women,9,2,Lake Forest College
2007,Swimming,Women,5,6,Lake Forest College
2007,Total,Women,46,7,Lake Forest College
2007,Volleyball,Women,3,8,Lawrence University
2007,Soccer,Women,4,7,Lawrence University
2007,Cross Country,Women,5,6,Lawrence University
2007,Tennis,Women,5,6,Lawrence University
2007,Basketball,Women,1.5,9,Lawrence University
2007,Swimming,Women,9,2,Lawrence University
2007,Indoor Track & Field,Women,4,7,Lawrence University
2007,Outdoor Track & Field,Women,3,8,Lawrence University
2007,Total,Women,38,8,Lawrence University
2007,Volleyball,Women,7,3,Monmouth College
2007,Soccer,Women,6,5,Monmouth College
2007,Cross Country,Women,6,5,Monmouth College
2007,Tennis,Women,4,7,Monmouth College
2007,Basketball,Women,6,5,Monmouth College
2007,Swimming,Women,6,5,Monmouth College
2007,Indoor Track & Field,Women,10,1,Monmouth College
2007,Outdoor Track & Field,Women,10,1,Monmouth College
2007,Total,Women,69,3,Monmouth College
2007,Volleyball,Women,7,3,Ripon College
2007,Soccer,Women,3,8,Ripon College
2007,Cross Country,Women,4,7,Ripon College
2007,Tennis,Women,3,8,Ripon College
2007,Basketball,Women,3,8,Ripon College
2007,Swimming,Women,8,3,Ripon College
2007,Indoor Track & Field,Women,3,8,Ripon College
2007,Outdoor Track & Field,Women,5,6,Ripon College
2007,Total,Women,51,6,Ripon College
2007,Volleyball,Women,9.5,1,St. Norbert College
2007,Soccer,Women,9,2,St. Norbert College
2007,Cross Country,Women,8,3,St. Norbert College
2007,Tennis,Women,9,2,St. Norbert College
2007,Basketball,Women,10,1,St. Norbert College
2007,Swimming,Women,4,7,St. Norbert College
2007,Indoor Track & Field,Women,8,3,St. Norbert College
2007,Outdoor Track & Field,Women,8,3,St. Norbert College
2007,Total,Women,81.5,1,St. Norbert College
2008,Football,Men,5.5,5,Beloit College
2008,Soccer,Men,6,5,Beloit College
2008,Cross Country,Men,6,5,Beloit College
2008,Basketball,Men,1.5,9,Beloit College
2008,Swimming,Men,3,8,Beloit College
2008,Indoor Track & Field,Men,4,7,Beloit College
2008,Tennis,Men,1,10,Beloit College
2008,Outdoor Track & Field,Men,4,7,Beloit College
2008,Baseball,Men,10,1,Beloit College
2008,Total,Men,43,8,Beloit College
2008,Football,Men,7,4,Carroll University
2008,Soccer,Men,10,1,Carroll University
2008,Cross Country,Men,5,6,Carroll University
2008,Basketball,Men,7.5,3,Carroll University
2008,Swimming,Men,5,6,Carroll University
2008,Indoor Track & Field,Men,8,3,Carroll University
2008,Tennis,Men,5,6,Carroll University
2008,Outdoor Track & Field,Men,7.5,3,Carroll University
2008,Baseball,Men,2,9,Carroll University
2008,Total,Men,65,4,Carroll University
2008,Football,Men,2.5,8,Grinnell College
2008,Soccer,Men,8,3,Grinnell College
2008,Cross Country,Men,10,1,Grinnell College
2008,Basketball,Men,9.5,1,Grinnell College
2008,Swimming,Men,10,1,Grinnell College
2008,Indoor Track & Field,Men,6,5,Grinnell College
2008,Tennis,Men,10,1,Grinnell College
2008,Outdoor Track & Field,Men,7.5,3,Grinnell College
2008,Baseball,Men,7,4,Grinnell College
2008,Total,Men,77,2,Grinnell College
2008,Football,Men,5.5,5,Illinois College
2008,Soccer,Men,4,7,Illinois College
2008,Cross Country,Men,3,8,Illinois College
2008,Basketball,Men,6,5,Illinois College
2008,Swimming,Men,2,9,Illinois College
2008,Indoor Track & Field,Men,9,2,Illinois College
2008,Tennis,Men,2,9,Illinois College
2008,Outdoor Track & Field,Men,9,2,Illinois College
2008,Baseball,Men,3.5,7,Illinois College
2008,Total,Men,58,5,Illinois College
2008,Football,Men,2.5,8,Knox College
2008,Soccer,Men,1,10,Knox College
2008,Cross Country,Men,1,10,Knox College
2008,Basketball,Men,1.5,9,Knox College
2008,Swimming,Men,4,7,Knox College
2008,Indoor Track & Field,Men,3,8,Knox College
2008,Tennis,Men,3,8,Knox College
2008,Outdoor Track & Field,Men,3,8,Knox College
2008,Baseball,Men,5.5,5,Knox College
2008,Total,Men,31,9,Knox College
2008,Football,Men,4,7,Lake Forest College
2008,Soccer,Men,5,6,Lake Forest College
2008,Cross Country,Men,2,9,Lake Forest College
2008,Basketball,Men,5,6,Lake Forest College
2008,Swimming,Men,6,5,Lake Forest College
2008,Tennis,Men,6,5,Lake Forest College
2008,Total,Men,27,10,Lake Forest College
2008,Football,Men,1,10,Lawrence University
2008,Soccer,Men,7,4,Lawrence University
2008,Cross Country,Men,4,7,Lawrence University
2008,Basketball,Men,9.5,1,Lawrence University
2008,Swimming,Men,8,3,Lawrence University
2008,Indoor Track & Field,Men,2,9,Lawrence University
2008,Tennis,Men,8,3,Lawrence University
2008,Outdoor Track & Field,Men,2,9,Lawrence University
2008,Baseball,Men,3.5,7,Lawrence University
2008,Total,Men,48,7,Lawrence University
2008,Football,Men,10,1,Monmouth College
2008,Soccer,Men,3,8,Monmouth College
2008,Cross Country,Men,8,3,Monmouth College
2008,Basketball,Men,3,8,Monmouth College
2008,Swimming,Men,9,2,Monmouth College
2008,Indoor Track & Field,Men,10,1,Monmouth College
2008,Tennis,Men,9,2,Monmouth College
2008,Outdoor Track & Field,Men,10,1,Monmouth College
2008,Baseball,Men,8,3,Monmouth College
2008,Total,Men,80,1,Monmouth College
2008,Football,Men,9,2,Ripon College
2008,Soccer,Men,2,9,Ripon College
2008,Cross Country,Men,7,4,Ripon College
2008,Basketball,Men,5,6,Ripon College
2008,Swimming,Men,7,4,Ripon College
2008,Indoor Track & Field,Men,5,6,Ripon College
2008,Tennis,Men,4,7,Ripon College
2008,Outdoor Track & Field,Men,5,6,Ripon College
2008,Baseball,Men,5.5,5,Ripon College
2008,Total,Men,54.5,6,Ripon College
2008,Football,Men,8,3,St. Norbert College
2008,Soccer,Men,9,2,St. Norbert College
2008,Cross Country,Men,9,2,St. Norbert College
2008,Basketball,Men,7.5,3,St. Norbert College
2008,Indoor Track & Field,Men,7,4,St. Norbert College
2008,Tennis,Men,7,4,St. Norbert College
2008,Outdoor Track & Field,Men,6,5,St. Norbert College
2008,Baseball,Men,9,2,St. Norbert College
2008,Total,Men,71.5,3,St. Norbert College
2008,Volleyball,Women,9,2,Beloit College
2008,Soccer,Women,3.5,7,Beloit College
2008,Cross Country,Women,5,6,Beloit College
2008,Basketball,Women,7.5,3,Beloit College
2008,Swimming,Women,4,7,Beloit College
2008,Indoor Track & Field,Women,4.5,6,Beloit College
2008,Tennis,Women,6,5,Beloit College
2008,Outdoor Track & Field,Women,4,7,Beloit College
2008,Total,Women,45,6,Beloit College
2008,Volleyball,Women,4,7,Carroll University
2008,Soccer,Women,9,2,Carroll University
2008,Cross Country,Women,9,2,Carroll University
2008,Basketball,Women,4,7,Carroll University
2008,Swimming,Women,7,4,Carroll University
2008,Indoor Track & Field,Women,9,2,Carroll University
2008,Tennis,Women,5,6,Carroll University
2008,Outdoor Track & Field,Women,9,2,Carroll University
2008,Total,Women,67.5,3,Carroll University
2008,Volleyball,Women,2.5,8,Grinnell College
2008,Soccer,Women,7.5,3,Grinnell College
2008,Cross Country,Women,7.5,3,Grinnell College
2008,Basketball,Women,2.5,8,Grinnell College
2008,Swimming,Women,10,1,Grinnell College
2008,Indoor Track & Field,Women,3,8,Grinnell College
2008,Tennis,Women,10,1,Grinnell College
2008,Outdoor Track & Field,Women,6,5,Grinnell College
2008,Total,Women,61.5,5,Grinnell College
2008,Volleyball,Women,6.5,4,Illinois College
2008,Soccer,Women,1,10,Illinois College
2008,Cross Country,Women,1,10,Illinois College
2008,Basketball,Women,7.5,3,Illinois College
2008,Swimming,Women,1,10,Illinois College
2008,Indoor Track & Field,Women,4.5,6,Illinois College
2008,Tennis,Women,1,10,Illinois College
2008,Outdoor Track & Field,Women,5,6,Illinois College
2008,Total,Women,43,8,Illinois College
2008,Volleyball,Women,2.5,8,Knox College
2008,Soccer,Women,2,9,Knox College
2008,Cross Country,Women,2,9,Knox College
2008,Basketball,Women,2.5,8,Knox College
2008,Swimming,Women,3,8,Knox College
2008,Indoor Track & Field,Women,2,9,Knox College
2008,Tennis,Women,2.5,8,Knox College
2008,Outdoor Track & Field,Women,3,8,Knox College
2008,Total,Women,26,10,Knox College
2008,Volleyball,Women,5,6,Lake Forest College
2008,Soccer,Women,7.5,3,Lake Forest College
2008,Cross Country,Women,3,8,Lake Forest College
2008,Basketball,Women,5.5,5,Lake Forest College
2008,Swimming,Women,8,3,Lake Forest College
2008,Tennis,Women,4,7,Lake Forest College
2008,Total,Women,41,9,Lake Forest College
2008,Volleyball,Women,1,10,Lawrence University
2008,Soccer,Women,6,5,Lawrence University
2008,Cross Country,Women,4,7,Lawrence University
2008,Basketball,Women,1,10,Lawrence University
2008,Swimming,Women,9,2,Lawrence University
2008,Indoor Track & Field,Women,6,5,Lawrence University
2008,Tennis,Women,9,2,Lawrence University
2008,Outdoor Track & Field,Women,2,9,Lawrence University
2008,Total,Women,43.5,7,Lawrence University
2008,Volleyball,Women,6.5,4,Monmouth College
2008,Soccer,Women,5,6,Monmouth College
2008,Cross Country,Women,10,1,Monmouth College
2008,Basketball,Women,5.5,5,Monmouth College
2008,Swimming,Women,6,5,Monmouth College
2008,Indoor Track & Field,Women,10,1,Monmouth College
2008,Tennis,Women,8,3,Monmouth College
2008,Outdoor Track & Field,Women,10,1,Monmouth College
2008,Total,Women,74,2,Monmouth College
2008,Volleyball,Women,8,3,Ripon College
2008,Soccer,Women,3.5,7,Ripon College
2008,Cross Country,Women,6,5,Ripon College
2008,Basketball,Women,10,1,Ripon College
2008,Swimming,Women,5,6,Ripon College
2008,Indoor Track & Field,Women,7,4,Ripon College
2008,Tennis,Women,2.5,8,Ripon College
2008,Outdoor Track & Field,Women,7,4,Ripon College
2008,Total,Women,65,4,Ripon College
2008,Volleyball,Women,10,1,St. Norbert College
2008,Soccer,Women,10,1,St. Norbert College
2008,Cross Country,Women,7.5,3,St. Norbert College
2008,Basketball,Women,9,2,St. Norbert College
2008,Swimming,Women,2,9,St. Norbert College
2008,Indoor Track & Field,Women,8,3,St. Norbert College
2008,Tennis,Women,7,4,St. Norbert College
2008,Outdoor Track & Field,Women,8,3,St. Norbert College
2008,Total,Women,75.5,1,St. Norbert College
2009,Football,Men,6,4,Beloit College
2009,Soccer,Men,7,4,Beloit College
2009,Cross Country,Men,6,5,Beloit College
2009,Basketball,Men,3.5,7,Beloit College
2009,Swimming,Men,5,6,Beloit College
2009,Indoor Track & Field,Men,2,9,Beloit College
2009,Tennis,Men,1,10,Beloit College
2009,Outdoor Track & Field,Men,4,7,Beloit College
2009,Baseball,Men,5.5,5,Beloit College
2009,Total,Men,42,7,Beloit College
2009,Football,Men,6,4,Carroll University
2009,Soccer,Men,10,1,Carroll University
2009,Cross Country,Men,4,7,Carroll University
2009,Basketball,Men,7.5,3,Carroll University
2009,Swimming,Men,6,5,Carroll University
2009,Indoor Track & Field,Men,8,3,Carroll University
2009,Tennis,Men,6,5,Carroll University
2009,Outdoor Track & Field,Men,9,2,Carroll University
2009,Baseball,Men,3.5,7,Carroll University
2009,Total,Men,69,3,Carroll University
2009,Football,Men,3.5,7,Grinnell College
2009,Soccer,Men,9,2,Grinnell College
2009,Cross Country,Men,10,1,Grinnell College
2009,Basketball,Men,3.5,7,Grinnell College
2009,Swimming,Men,10,1,Grinnell College
2009,Indoor Track & Field,Men,5,6,Grinnell College
2009,Tennis,Men,10,1,Grinnell College
2009,Outdoor Track & Field,Men,8,3,Grinnell College
2009,Baseball,Men,9,2,Grinnell College
2009,Total,Men,74,1,Grinnell College
2009,Football,Men,6,4,Illinois College
2009,Soccer,Men,6,5,Illinois College
2009,Cross Country,Men,2,9,Illinois College
2009,Basketball,Men,5.5,5,Illinois College
2009,Swimming,Men,2,9,Illinois College
2009,Indoor Track & Field,Men,6,5,Illinois College
2009,Tennis,Men,2,9,Illinois College
2009,Outdoor Track & Field,Men,5,6,Illinois College
2009,Baseball,Men,7,4,Illinois College
2009,Total,Men,48.5,6,Illinois College
2009,Football,Men,1.5,9,Knox College
2009,Soccer,Men,1,10,Knox College
2009,Cross Country,Men,3,8,Knox College
2009,Basketball,Men,1,10,Knox College
2009,Swimming,Men,3,8,Knox College
2009,Indoor Track & Field,Men,4,7,Knox College
2009,Tennis,Men,4,7,Knox College
2009,Outdoor Track & Field,Men,3,8,Knox College
2009,Baseball,Men,3.5,7,Knox College
2009,Total,Men,32,10,Knox College
2009,Football,Men,3.5,7,Lake Forest College
2009,Soccer,Men,4,7,Lake Forest College
2009,Cross Country,Men,1,10,Lake Forest College
2009,Basketball,Men,9,2,Lake Forest College
2009,Swimming,Men,9,2,Lake Forest College
2009,Tennis,Men,9,2,Lake Forest College
2009,Total,Men,35.5,9,Lake Forest College
2009,Football,Men,1.5,9,Lawrence University
2009,Soccer,Men,3,8,Lawrence University
2009,Cross Country,Men,5,6,Lawrence University
2009,Basketball,Men,5.5,5,Lawrence University
2009,Swimming,Men,7,4,Lawrence University
2009,Indoor Track & Field,Men,3,8,Lawrence University
2009,Tennis,Men,8,3,Lawrence University
2009,Outdoor Track & Field,Men,2,9,Lawrence University
2009,Baseball,Men,2,9,Lawrence University
2009,Total,Men,40,8,Lawrence University
2009,Football,Men,10,1,Monmouth College
2009,Soccer,Men,2,9,Monmouth College
2009,Cross Country,Men,8,3,Monmouth College
2009,Basketball,Men,2,9,Monmouth College
2009,Swimming,Men,8,3,Monmouth College
2009,Indoor Track & Field,Men,10,1,Monmouth College
2009,Tennis,Men,5,6,Monmouth College
2009,Outdoor Track & Field,Men,10,1,Monmouth College
2009,Baseball,Men,5.5,5,Monmouth College
2009,Total,Men,70.5,2,Monmouth College
2009,Football,Men,8,3,Ripon College
2009,Soccer,Men,5,6,Ripon College
2009,Cross Country,Men,9,2,Ripon College
2009,Basketball,Men,7.5,3,Ripon College
2009,Swimming,Men,4,7,Ripon College
2009,Indoor Track & Field,Men,7,4,Ripon College
2009,Tennis,Men,3,8,Ripon College
2009,Outdoor Track & Field,Men,6,5,Ripon College
2009,Baseball,Men,10,1,Ripon College
2009,Total,Men,64.5,5,Ripon College
2009,Football,Men,9,2,St. Norbert College
2009,Soccer,Men,8,3,St. Norbert College
2009,Cross Country,Men,7,4,St. Norbert College
2009,Basketball,Men,10,1,St. Norbert College
2009,Indoor Track & Field,Men,9,2,St. Norbert College
2009,Tennis,Men,7,4,St. Norbert College
2009,Outdoor Track & Field,Men,7,4,St. Norbert College
2009,Baseball,Men,8,3,St. Norbert College
2009,Total,Men,69,3,St. Norbert College
2009,Volleyball,Women,9,2,Beloit College
2009,Soccer,Women,4,7,Beloit College
2009,Cross Country,Women,6,5,Beloit College
2009,Basketball,Women,4.5,6,Beloit College
2009,Swimming,Women,5,6,Beloit College
2009,Indoor Track & Field,Women,7,4,Beloit College
2009,Tennis,Women,9,2,Beloit College
2009,Outdoor Track & Field,Women,4,7,Beloit College
2009,Total,Women,50,7,Beloit College
2009,Volleyball,Women,3,7,Carroll University
2009,Soccer,Women,10,1,Carroll University
