Year,Gender,Sport,Total Expense,Operating Expense,Undergrads,School
2010,Men,Basketball,84191,34542,560,Beloit College
2010,Men,Football,222496,45416,560,Beloit College
2010,Men,Golf,16455,5240,560,Beloit College
2010,Men,Soccer,80023,15720,560,Beloit College
2010,Men,Swimming,16246,10336,560,Beloit College
2010,Men,Total,575863,189596,560,Beloit College
2010,Women,All Track Combined,55019,25032,741,Beloit College
2010,Women,Basketball,59714,20940,741,Beloit College
2010,Women,Soccer,56062,15198,741,Beloit College
2010,Women,Softball,89128,23736,741,Beloit College
2010,Women,Swimming,16846,10965,741,Beloit College
2010,Women,Tennis,9553,5715,741,Beloit College
2010,Women,Total,378254,127948,741,Beloit College
2010,Women,Volleyball,91932,26362,741,Beloit College
2011,Men,All Track Combined,70999,38799,543,Beloit College
2011,Men,Baseball,136083,85374,543,Beloit College
2011,Men,Basketball,81086,24615,543,Beloit College
2011,Men,Football,311615,54157,543,Beloit College
2011,Men,Golf,19113,7425,543,Beloit College
2011,Men,Soccer,105327,33205,543,Beloit College
2011,Men,Swimming and Diving,16693,9127,543,Beloit College
2011,Men,Total,740916,252702,543,Beloit College
2011,Women,All Track Combined,69444,37277,752,Beloit College
2011,Women,Basketball,65820,20910,752,Beloit College
2011,Women,Soccer,70337,23996,752,Beloit College
2011,Women,Softball,113290,49380,752,Beloit College
2011,Women,Swimming and Diving,23838,15541,752,Beloit College
2011,Women,Tennis,10198,6208,752,Beloit College
2011,Women,Total,427652,172080,752,Beloit College
2011,Women,Volleyball,74725,18768,752,Beloit College
2012,Men,All Track Combined,71381,30410,507,Beloit College
2012,Men,Baseball,133523,53255,507,Beloit College
2012,Men,Basketball,101336,18679,507,Beloit College
2012,Men,Football,257010,44290,507,Beloit College
2012,Men,Lacrosse,121256,56901,507,Beloit College
2012,Men,Soccer,86622,18801,507,Beloit College
2012,Men,Swimming and Diving,33111,9138,507,Beloit College
2012,Men,Total,804239,231474,507,Beloit College
2012,Women,All Track Combined,77414,36530,735,Beloit College
2012,Women,Basketball,71208,18778,735,Beloit College
2012,Women,Lacrosse,76260,19418,735,Beloit College
2012,Women,Soccer,71603,19073,735,Beloit College
2012,Women,Softball,106490,35522,735,Beloit College
2012,Women,Swimming and Diving,36000,11630,735,Beloit College
2012,Women,Tennis,11497,5832,735,Beloit College
2012,Women,Total,532555,165805,735,Beloit College
2012,Women,Volleyball,82083,19022,735,Beloit College
2013,Men,All Track Combined,84624,44235,511,Beloit College
2013,Men,Baseball,130712,61218,511,Beloit College
2013,Men,Basketball,131556,57815,511,Beloit College
2013,Men,Football,293508,80027,511,Beloit College
2013,Men,Lacrosse,137390,65754,511,Beloit College
2013,Men,Soccer,102798,19500,511,Beloit College
2013,Men,Swimming,35395,12878,511,Beloit College
2013,Men,Total,915983,203585,511,Beloit College
2013,Women,All Track Combined,73993,33644,726,Beloit College
2013,Women,Basketball,103776,44747,726,Beloit College
2013,Women,Lacrosse,123576,51241,726,Beloit College
2013,Women,Soccer,74895,25138,726,Beloit College
2013,Women,Softball,107672,48059,726,Beloit College
2013,Women,Swimming,39771,17141,726,Beloit College
2013,Women,Tennis,14859,9459,726,Beloit College
2013,Women,Total,636047,211415,726,Beloit College
2013,Women,Volleyball,97505,26733,726,Beloit College
2014,Men,All Track Combined,58154,37238,519,Beloit College
2014,Men,Baseball,146966,75120,519,Beloit College
2014,Men,Basketball,106177,31720,519,Beloit College
2014,Men,Football,267096,48288,519,Beloit College
2014,Men,Lacrosse,125489,52536,519,Beloit College
2014,Men,Soccer,60563,24274,519,Beloit College
2014,Men,Swimming,59495,15630,519,Beloit College
2014,Men,Total,823940,284806,519,Beloit College
2014,Women,All Track Combined,110259,46632,700,Beloit College
2014,Women,Basketball,89071,28096,700,Beloit College
2014,Women,Lacrosse,98207,41053,700,Beloit College
2014,Women,Soccer,77416,25417,700,Beloit College
2014,Women,Softball,102763,44834,700,Beloit College
2014,Women,Swimming,22023,15630,700,Beloit College
2014,Women,Tennis,14934,9534,700,Beloit College
2014,Women,Total,609534,233692,700,Beloit College
2014,Women,Volleyball,94861,22496,700,Beloit College
2015,Men,All Track Combined,78047,35439,573,Beloit College
2015,Men,Baseball,167009,95393,573,Beloit College
2015,Men,Basketball,113801,35940,573,Beloit College
2015,Men,Football,296057,59642,573,Beloit College
2015,Men,Lacrosse,117702,50568,573,Beloit College
2015,Men,Soccer,56956,20049,573,Beloit College
2015,Men,Swimming,38494,13606,573,Beloit College
2015,Men,Total,868066,310637,573,Beloit College
2015,Women,All Track Combined,75306,32713,693,Beloit College
2015,Women,Basketball,100587,37186,693,Beloit College
2015,Women,Lacrosse,104227,41378,693,Beloit College
2015,Women,Soccer,78571,24260,693,Beloit College
2015,Women,Softball,104985,42048,693,Beloit College
2015,Women,Swimming,38494,13606,693,Beloit College
2015,Women,Tennis,17956,9877,693,Beloit College
2015,Women,Total,614584,220299,693,Beloit College
2015,Women,Volleyball,94458,19231,693,Beloit College
2016,Men,All Track Combined,88637,40299,610,Beloit College
2016,Men,Baseball,117900,104897,610,Beloit College
2016,Men,Basketball,179556,29326,610,Beloit College
2016,Men,Football,316139,82852,610,Beloit College
2016,Men,Lacrosse,135278,58397,610,Beloit College
2016,Men,Soccer,63810,18941,610,Beloit College
2016,Men,Swimming,37537,12029,610,Beloit College
2016,Men,Total,938857,346741,610,Beloit College
2016,Women,All Track Combined,86420,38104,700,Beloit College
2016,Women,Basketball,85904,23882,700,Beloit College
2016,Women,Lacrosse,77852,32428,700,Beloit College
2016,Women,Soccer,78450,23055,700,Beloit College
2016,Women,Softball,114990,47094,700,Beloit College
2016,Women,Swimming,37537,12029,700,Beloit College
2016,Women,Tennis,15531,10171,700,Beloit College
2016,Women,Total,599675,214442,700,Beloit College
2016,Women,Volleyball,102991,27679,700,Beloit College
2017,Men,All Track Combined,90615,41676,629,Beloit College
2017,Men,Baseball,172033,88883,629,Beloit College
2017,Men,Basketball,142893,52216,629,Beloit College
2017,Men,Football,313781,80101,629,Beloit College
2017,Men,Lacrosse,136302,61652,629,Beloit College
2017,Men,Soccer,72440,20584,629,Beloit College
2017,Men,Swimming,37628,11858,629,Beloit College
2017,Men,Total,965692,356970,629,Beloit College
2017,Women,All Track Combined,95200,46248,691,Beloit College
2017,Women,Basketball,117939,32762,691,Beloit College
2017,Women,Lacrosse,97888,36897,691,Beloit College
2017,Women,Soccer,81818,35007,691,Beloit College
2017,Women,Softball,115926,54149,691,Beloit College
2017,Women,Swimming,36645,10946,691,Beloit College
2017,Women,Tennis,15450,8986,691,Beloit College
2017,Women,Total,661871,249471,691,Beloit College
2017,Women,Volleyball,101005,24476,691,Beloit College
