Year,Gender,Total Expense,Operating Expense,Undergrads,School,Sport
2008,Women,80826,20544,727,Beloit College,Volleyball
2009,Men,59424,29197,567,Beloit College,All Track Combined
2009,Men,67453,19584,567,Beloit College,Baseball
2009,Men,66414,17237,567,Beloit College,Basketball
2009,Men,237580,41354,567,Beloit College,Football
2009,Men,18344,7137,567,Beloit College,Golf
2009,Men,85659,15080,567,Beloit College,Soccer
2009,Men,15139,9464,567,Beloit College,Swimming & Diving
2009,Men,16514,6330,567,Beloit College,Tennis
2009,Men,566527,145383,567,Beloit College,Total
2009,Women,51800,21624,749,Beloit College,All Track Combined
2009,Women,84975,20878,749,Beloit College,Basketball
2009,Women,56061,15477,749,Beloit College,Soccer
2009,Women,76218,16614,749,Beloit College,Softball
2009,Women,21268,15456,749,Beloit College,Swimming & Diving
2009,Women,9560,5772,749,Beloit College,Tennis
2009,Women,378132,113080,749,Beloit College,Total
2009,Women,78250,17259,749,Beloit College,Volleyball
2010,Men,64110,33972,560,Beloit College,All Track Combined
2010,Men,92342,44370,560,Beloit College,Baseball
2010,Men,84191,34542,560,Beloit College,Basketball
2010,Men,222496,45416,560,Beloit College,Football
2010,Men,16455,5240,560,Beloit College,Golf
2010,Men,80023,15720,560,Beloit College,Soccer
2010,Men,16246,10336,560,Beloit College,Swimming & Diving
2010,Men,575863,189596,560,Beloit College,Total
2010,Women,55019,25032,741,Beloit College,All Track Combined
2010,Women,59714,20940,741,Beloit College,Basketball
2010,Women,56062,15198,741,Beloit College,Soccer
2010,Women,89128,23736,741,Beloit College,Softball
2010,Women,16846,10965,741,Beloit College,Swimming & Diving
2010,Women,9553,5715,741,Beloit College,Tennis
2010,Women,378254,127948,741,Beloit College,Total
2010,Women,91932,26362,741,Beloit College,Volleyball
2011,Men,70999,38799,543,Beloit College,All Track Combined
2011,Men,136083,85374,543,Beloit College,Baseball
2011,Men,81086,24615,543,Beloit College,Basketball
2011,Men,311615,54157,543,Beloit College,Football
2011,Men,19113,7425,543,Beloit College,Golf
2011,Men,105327,33205,543,Beloit College,Soccer
2011,Men,16693,9127,543,Beloit College,Swimming & Diving
2011,Men,740916,252702,543,Beloit College,Total
2011,Women,69444,37277,752,Beloit College,All Track Combined
2011,Women,65820,20910,752,Beloit College,Basketball
2011,Women,70337,23996,752,Beloit College,Soccer
2011,Women,113290,49380,752,Beloit College,Softball
2011,Women,23838,15541,752,Beloit College,Swimming & Diving
2011,Women,10198,6208,752,Beloit College,Tennis
2011,Women,427652,172080,752,Beloit College,Total
2011,Women,74725,18768,752,Beloit College,Volleyball
2012,Men,71381,30410,507,Beloit College,All Track Combined
2012,Men,133523,53255,507,Beloit College,Baseball
2012,Men,101336,18679,507,Beloit College,Basketball
