Name,GP,PF,PF/G
"#12 Tomczik, Kate",25,80,3.2
"#25 Heath, Tyria",25,69,2.8
"#20 Stender, Kathryn",25,57,2.3
"#42 Gubbrud, Ellie",25,55,2.2
"#35 Dos Santos, Stephany",21,39,1.9
"#23 Collier, Claire",25,33,1.3
"#21 Nyquist, Emmy",22,31,1.4
"#05 Ahooja, Sofia",25,24,1.0
"#13 Filkins, Annie",24,20,0.8
"#32 Coalson, Aidan",9,16,1.8
"#11 Kricfalusi, Mikayla",2,7,3.5
"#24 Singleton, Aliya",8,4,0.5
"#14 Shirley, Orion",7,2,0.3
"#10 Thomas, Sasha",2,1,0.5
