#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
25,"Heath, Tyria 25 Heath, Tyria",25,25.0,742,29.7,200,437,0.458,18,69,0.261,131,182,0.72,549,22.0,37,70,107,4.3,69,32,94,34,9,View Bio
20,"Stender, Kathryn 20 Stender, Kathryn",25,25.0,761,30.4,76,231,0.329,45,147,0.306,48,69,0.696,245,9.8,68,95,163,6.5,57,23,49,23,18,View Bio
12,"Tomczik, Kate 12 Tomczik, Kate",25,25.0,510,20.4,72,174,0.414,2,11,0.182,66,98,0.673,212,8.5,35,110,145,5.8,80,10,63,13,19,View Bio
11,"Kricfalusi, Mikayla 11 Kricfalusi, Mikayla",2,2.0,53,26.5,5,10,0.5,0,0,0.0,5,5,1.0,15,7.5,8,8,16,8.0,7,0,2,1,1,View Bio
05,"Ahooja, Sofia 05 Ahooja, Sofia",25,25.0,796,31.8,51,205,0.249,9,71,0.127,59,97,0.608,170,6.8,12,42,54,2.2,24,90,74,27,4,View Bio
10,"Thomas, Sasha 10 Thomas, Sasha",2,0.0,12,6.0,4,9,0.444,3,7,0.429,2,2,1.0,13,6.5,1,0,1,0.5,1,0,2,0,0,View Bio
32,"Coalson, Aidan 32 Coalson, Aidan",9,2.0,157,17.4,20,58,0.345,2,10,0.2,8,14,0.571,50,5.6,25,32,57,6.3,16,1,18,7,10,View Bio
42,"Gubbrud, Ellie 42 Gubbrud, Ellie",25,21.0,589,23.6,41,89,0.461,0,0,0.0,26,48,0.542,108,4.3,56,110,166,6.6,55,10,21,19,27,View Bio
21,"Nyquist, Emmy 21 Nyquist, Emmy",22,0.0,528,24.0,24,86,0.279,15,62,0.242,14,17,0.824,77,3.5,11,42,53,2.4,31,47,34,18,0,View Bio
23,"Collier, Claire 23 Collier, Claire",25,0.0,387,15.5,29,93,0.312,14,37,0.378,11,13,0.846,83,3.3,18,56,74,3.0,33,11,23,15,12,View Bio
13,"Filkins, Annie 13 Filkins, Annie",24,0.0,218,9.1,22,75,0.293,17,60,0.283,1,1,1.0,62,2.6,9,32,41,1.7,20,5,21,7,1,View Bio
35,"Dos Santos, Stephany 35 Dos Santos, Stephany",21,0.0,221,10.5,13,28,0.464,0,1,0.0,8,18,0.444,34,1.6,34,30,64,3.0,39,3,11,2,2,View Bio
14,"Shirley, Orion 14 Shirley, Orion",7,0.0,16,2.3,2,11,0.182,0,4,0.0,0,0,0.0,4,0.6,3,1,4,0.6,2,1,3,1,0,View Bio
24,"Singleton, Aliya 24 Singleton, Aliya",8,0.0,35,4.4,2,7,0.286,0,1,0.0,0,4,0.0,4,0.5,4,6,10,1.3,4,0,3,2,0,View Bio
TM,Team  TM Team,25,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,0.1,36,72,108,4.3,0,0,10,0,0,
,Total,25,,5025,201.0,561,1513,0.371,125,480,0.26,379,568,0.667,1628,65.12,357,706,1063,42.5,438,233,428,169,103,
,Opponents,25,,5025,201.0,605,1582,0.382,150,497,0.302,327,463,0.706,1687,67.48,325,679,1004,40.2,506,354,360,183,76,
