#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
25,"Heath, Tyria 25 Heath, Tyria",18,18.0,542,30.1,142,307,0.463,12,46,0.261,95,133,0.714,391,21.7,26,54,80,4.4,49,21,1.2,72,23,4,View Bio
20,"Stender, Kathryn 20 Stender, Kathryn",18,18.0,554,30.8,52,159,0.327,31,106,0.292,35,53,0.66,170,9.4,40,61,101,5.6,42,9,0.5,34,16,16,View Bio
12,"Tomczik, Kate 12 Tomczik, Kate",18,18.0,366,20.3,55,132,0.417,1,7,0.143,46,68,0.676,157,8.7,24,72,96,5.3,59,7,0.4,51,8,16,View Bio
05,"Ahooja, Sofia 05 Ahooja, Sofia",18,18.0,568,31.6,32,132,0.242,6,45,0.133,38,64,0.594,108,6.0,10,28,38,2.1,17,58,3.2,53,16,2,View Bio
10,"Thomas, Sasha 10 Thomas, Sasha",2,0.0,12,6.0,4,9,0.444,3,7,0.429,2,2,1.0,13,6.5,1,0,1,0.5,1,0,0.0,2,0,0,View Bio
42,"Gubbrud, Ellie 42 Gubbrud, Ellie",18,18.0,449,24.9,28,68,0.412,0,0,0.0,17,32,0.531,73,4.1,41,89,130,7.2,45,7,0.4,15,16,20,View Bio
32,"Coalson, Aidan 32 Coalson, Aidan",2,0.0,20,10.0,3,7,0.429,0,0,0.0,1,2,0.5,7,3.5,4,2,6,3.0,0,0,0.0,2,2,1,View Bio
23,"Collier, Claire 23 Collier, Claire",18,0.0,292,16.2,22,65,0.338,9,25,0.36,7,7,1.0,60,3.3,12,39,51,2.8,22,8,0.4,18,9,11,View Bio
21,"Nyquist, Emmy 21 Nyquist, Emmy",18,0.0,448,24.9,21,70,0.3,13,49,0.265,11,13,0.846,66,3.7,9,41,50,2.8,25,37,2.1,28,16,0,View Bio
24,"Filkins, Annie 24 Filkins, Annie",17,0.0,145,8.5,14,49,0.286,11,39,0.282,1,1,1.0,40,2.4,4,22,26,1.5,11,2,0.1,16,5,1,View Bio
35,"Dos Santos, Stephany 35 Dos Santos, Stephany",18,0.0,205,11.4,12,26,0.462,0,1,0.0,7,14,0.5,31,1.7,28,27,55,3.1,36,3,0.2,10,2,2,View Bio
14,"Shirley, Orion 14 Shirley, Orion",5,0.0,9,1.8,1,6,0.167,0,2,0.0,0,0,0.0,2,0.4,2,0,2,0.4,0,1,0.2,2,1,0,View Bio
13,"Singleton, Aliya 13 Singleton, Aliya",4,0.0,15,3.8,1,4,0.25,0,0,0.0,0,4,0.0,2,0.5,1,1,2,0.5,3,0,0.0,2,0,0,View Bio
TM,Team  TM Team,18,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,0.1,24,52,76,4.2,0,0,0.0,8,0,0,
,Total,18,,3625,201.4,387,1034,0.374,86,327,0.263,260,393,0.662,1122,62.33,226,488,714,39.7,310,153,8.5,313,114,73,
,Opponents,18,,3625,201.4,434,1116,0.389,97,322,0.301,237,328,0.723,1202,66.78,235,477,712,39.6,367,248,13.8,261,128,55,
