Name,GP,Pts,Pts/G
"#25 Heath, Tyria",25,549,22.0
"#20 Stender, Kathryn",25,245,9.8
"#12 Tomczik, Kate",25,212,8.5
"#05 Ahooja, Sofia",25,170,6.8
"#42 Gubbrud, Ellie",25,108,4.3
"#23 Collier, Claire",25,83,3.3
"#21 Nyquist, Emmy",22,77,3.5
"#13 Filkins, Annie",24,62,2.6
"#32 Coalson, Aidan",9,50,5.6
"#35 Dos Santos, Stephany",21,34,1.6
"#11 Kricfalusi, Mikayla",2,15,7.5
"#10 Thomas, Sasha",2,13,6.5
"#14 Shirley, Orion",7,4,0.6
"#24 Singleton, Aliya",8,4,0.5
#TM Team,25,2,0.1
