Statistic,High,Player,Opponent
POINTS,40,Tyria Heath,Lake Forest (01/03/20)
FIELD GOALS MADE,17,Tyria Heath,Lake Forest (01/03/20)
FIELD GOAL ATTEMPTS,28,Tyria Heath,Lake Forest (01/03/20)
3 PT FIELD GOALS MADE,5,"Stender,Kathryn",Nebraska Wesleyan (11/15/19)
3 PT FG ATTEMPTS,11,Kathryn Stender,Illinois College (02/12/20)
FREE THROWS MADE,11,"Heath,Tyria",Knox (01/25/20)
FREE THROW ATTEMPTS,14,Tyria Heath,Ripon (02/01/20)
REBOUNDS,15,Ellie Gubbrud,Illinois College (01/15/20); Cornell College (01/21/20)
ASSISTS,9,Sofia Ahooja,Lake Forest (01/03/20)
STEALS,4,Tyria Heath,Lake Forest (01/03/20); Knox (12/07/19)
BLOCKED SHOTS,4,Aidan Coalson; Tyria Heath,Emmaus (11/19/19); Iowa Wesleyan University (11/26/19)
TURNOVERS,10,Tyria Heath,Lake Forest (02/22/20)
FOULS,5,"Kathryn Stender; Tyria Heath; Ahooja,Sofia; Kate Tomczik",Emmaus (11/19/19); Lawrence (01/04/20); Beloit (02/05/20); Nebraska Wesleyan (11/15/19); Lawrence (01/18/20); Ripon (02/01/20)
