Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#20 Stender, Kathryn",25,45,147,0.306,1.8,5.9
"#25 Heath, Tyria",25,18,69,0.261,0.7,2.8
"#13 Filkins, Annie",24,17,60,0.283,0.7,2.5
"#21 Nyquist, Emmy",22,15,62,0.242,0.7,2.8
"#23 Collier, Claire",25,14,37,0.378,0.6,1.5
"#05 Ahooja, Sofia",25,9,71,0.127,0.4,2.8
"#10 Thomas, Sasha",2,3,7,0.429,1.5,3.5
"#32 Coalson, Aidan",9,2,10,0.2,0.2,1.1
"#12 Tomczik, Kate",25,2,11,0.182,0.1,0.4
"#35 Dos Santos, Stephany",21,0,1,0.0,0.0,0.0
"#14 Shirley, Orion",7,0,4,0.0,0.0,0.6
"#24 Singleton, Aliya",8,0,1,0.0,0.0,0.1
