#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
25.0,"Heath, Tyria 25 Heath, Tyria",25,25.0,742,200,437,0.458,18,69,0.261,131,182,0.72,549,22.0
20.0,"Stender, Kathryn 20 Stender, Kathryn",25,25.0,761,76,231,0.329,45,147,0.306,48,69,0.696,245,9.8
12.0,"Tomczik, Kate 12 Tomczik, Kate",25,25.0,510,72,174,0.414,2,11,0.182,66,98,0.673,212,8.5
11.0,"Kricfalusi, Mikayla 11 Kricfalusi, Mikayla",2,2.0,53,5,10,0.5,0,0,0.0,5,5,1.0,15,7.5
5.0,"Ahooja, Sofia 05 Ahooja, Sofia",25,25.0,796,51,205,0.249,9,71,0.127,59,97,0.608,170,6.8
10.0,"Thomas, Sasha 10 Thomas, Sasha",2,0.0,12,4,9,0.444,3,7,0.429,2,2,1.0,13,6.5
32.0,"Coalson, Aidan 32 Coalson, Aidan",9,2.0,157,20,58,0.345,2,10,0.2,8,14,0.571,50,5.6
42.0,"Gubbrud, Ellie 42 Gubbrud, Ellie",25,21.0,589,41,89,0.461,0,0,0.0,26,48,0.542,108,4.3
23.0,"Collier, Claire 23 Collier, Claire",25,0.0,387,29,93,0.312,14,37,0.378,11,13,0.846,83,3.3
21.0,"Nyquist, Emmy 21 Nyquist, Emmy",22,0.0,528,24,86,0.279,15,62,0.242,14,17,0.824,77,3.5
13.0,"Filkins, Annie 13 Filkins, Annie",24,0.0,218,22,75,0.293,17,60,0.283,1,1,1.0,62,2.6
35.0,"Dos Santos, Stephany 35 Dos Santos, Stephany",21,0.0,221,13,28,0.464,0,1,0.0,8,18,0.444,34,1.6
14.0,"Shirley, Orion 14 Shirley, Orion",7,0.0,16,2,11,0.182,0,4,0.0,0,0,0.0,4,0.6
24.0,"Singleton, Aliya 24 Singleton, Aliya",8,0.0,35,2,7,0.286,0,1,0.0,0,4,0.0,4,0.5
,Total,25,,5025,561,1513,0.371,125,480,0.26,379,568,0.667,1628,65.12
,Opponents,25,,5025,605,1582,0.382,150,497,0.302,327,463,0.706,1687,67.48
