Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#25 Heath, Tyria",25,200,437,0.458,8.0,17.5
"#20 Stender, Kathryn",25,76,231,0.329,3.0,9.2
"#12 Tomczik, Kate",25,72,174,0.414,2.9,7.0
"#05 Ahooja, Sofia",25,51,205,0.249,2.0,8.2
"#42 Gubbrud, Ellie",25,41,89,0.461,1.6,3.6
"#23 Collier, Claire",25,29,93,0.312,1.2,3.7
"#21 Nyquist, Emmy",22,24,86,0.279,1.1,3.9
"#13 Filkins, Annie",24,22,75,0.293,0.9,3.1
"#32 Coalson, Aidan",9,20,58,0.345,2.2,6.4
"#35 Dos Santos, Stephany",21,13,28,0.464,0.6,1.3
"#11 Kricfalusi, Mikayla",2,5,10,0.5,2.5,5.0
"#10 Thomas, Sasha",2,4,9,0.444,2.0,4.5
"#14 Shirley, Orion",7,2,11,0.182,0.3,1.6
"#24 Singleton, Aliya",8,2,7,0.286,0.3,0.9
