Name,GP,TO,TO/G
"#25 Heath, Tyria",25,94,3.8
"#05 Ahooja, Sofia",25,74,3.0
"#12 Tomczik, Kate",25,63,2.5
"#20 Stender, Kathryn",25,49,2.0
"#21 Nyquist, Emmy",22,34,1.5
"#23 Collier, Claire",25,23,0.9
"#13 Filkins, Annie",24,21,0.9
"#42 Gubbrud, Ellie",25,21,0.8
"#32 Coalson, Aidan",9,18,2.0
"#35 Dos Santos, Stephany",21,11,0.5
#TM Team,25,10,0.4
"#14 Shirley, Orion",7,3,0.4
"#24 Singleton, Aliya",8,3,0.4
"#11 Kricfalusi, Mikayla",2,2,1.0
"#10 Thomas, Sasha",2,2,1.0
