Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
Central,11/08/19,68-48,W,27-68,0.397,9-28,0.321,5-12,0.417,10,38,48,48.0,19,20,12,5,8,68,68.0
Nebraska Wesleyan,11/15/19,78-84,L,23-75,0.307,7-32,0.219,25-33,0.758,17,22,39,43.5,25,14,11,1,13,78,73.0
Emmaus,11/19/19,80-76,W,29-69,0.42,9-20,0.45,13-17,0.765,9,38,47,44.7,23,19,16,4,9,80,75.3
Northwestern-St. Paul,11/23/19,76-66,W,27-67,0.403,12-32,0.375,10-15,0.667,14,24,38,43.0,22,20,14,2,6,76,75.5
Providence-Manitoba,11/24/19,67-85,L,25-69,0.362,5-25,0.2,12-19,0.632,16,24,40,42.4,16,13,19,2,11,67,73.8
Iowa Wesleyan University,11/26/19,59-84,L,19-53,0.358,6-17,0.353,15-22,0.682,10,23,33,40.8,15,8,12,1,2,59,71.3
Cornell College,12/04/19,49-44,W,17-60,0.283,6-25,0.24,9-12,0.75,12,30,42,41.0,20,11,17,2,8,49,68.1
Knox,12/07/19,79-57,W,32-62,0.516,6-17,0.353,9-16,0.563,11,25,36,40.4,21,22,18,4,14,79,69.5
Waldorf,12/13/19,57-63,L,21-65,0.323,5-21,0.238,10-17,0.588,14,33,47,41.1,19,12,15,6,6,57,68.1
Lake Forest,01/03/20,62-84,L,26-66,0.394,3-18,0.167,7-16,0.438,13,21,34,40.4,19,17,17,1,8,62,67.5
Lawrence,01/04/20,77-80,L,30-74,0.405,7-18,0.389,10-14,0.714,16,21,37,40.1,23,8,7,2,6,77,68.4
Monmouth (IL),01/08/20,59-66,L,20-66,0.303,4-24,0.167,15-20,0.75,20,23,43,40.3,24,11,14,3,7,59,67.6
Ripon,01/11/20,81-53,W,28-63,0.444,7-13,0.538,18-24,0.75,15,34,49,41.0,24,14,15,10,4,81,68.6
Illinois College,01/15/20,68-72,L,25-64,0.391,3-13,0.231,15-26,0.577,18,27,45,41.3,26,14,21,7,8,68,68.6
Lawrence,01/18/20,63-51,W,22-54,0.407,1-11,0.091,18-24,0.75,9,36,45,41.5,24,16,12,0,4,63,68.2
Cornell College,01/21/20,53-55,L,19-58,0.328,8-26,0.308,7-12,0.583,7,25,32,40.9,19,12,10,7,6,53,67.3
Knox,01/25/20,76-73,W,28-65,0.431,7-17,0.412,13-20,0.65,18,26,44,41.1,19,14,18,5,10,76,67.8
St. Norbert College,01/31/20,59-46,W,23-64,0.359,5-15,0.333,8-12,0.667,13,28,41,41.1,15,18,12,1,11,59,67.3
Ripon,02/01/20,68-62,W,22-58,0.379,4-13,0.308,20-24,0.833,14,20,34,40.7,24,10,15,2,5,68,67.3
Beloit,02/05/20,49-66,L,18-54,0.333,4-20,0.2,9-12,0.75,13,29,42,40.8,17,8,25,2,4,49,66.4
Monmouth (IL),02/08/20,76-68,W,26-59,0.441,12-24,0.5,12-13,0.923,6,22,28,40.2,15,17,13,0,6,76,66.9
Illinois College,02/12/20,72-67,W,22-61,0.361,3-12,0.25,25-27,0.926,16,27,43,40.3,21,8,13,4,5,72,67.1
Saint Norbert,02/15/20,78-46,W,26-60,0.433,5-16,0.313,21-23,0.913,10,36,46,40.6,16,21,10,1,2,78,67.6
Beloit,02/18/20,50-65,L,17-52,0.327,5-20,0.25,11-19,0.579,8,24,32,40.2,19,9,14,2,5,50,66.8
Lake Forest,02/22/20,83-69,W,33-76,0.434,7-20,0.35,10-14,0.714,16,23,39,40.2,21,18,10,2,15,83,67.5
Grinnell College,,-,,561-1513,0.371,125-480,0.26,379-568,0.667,357,706,1063,42.5,438,233,428,103,169,1628,65.1
Opponents,,-,,605-1582,0.382,150-497,0.302,327-463,0.706,325,679,1004,40.2,506,354,360,76,183,1687,67.5
