#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
25.0,"Heath, Tyria 25 Heath, Tyria",25,29.7,0.458,0.261,0.72,1.5,2.8,4.3,1.3,1.4,0.4,22.0
20.0,"Stender, Kathryn 20 Stender, Kathryn",25,30.4,0.329,0.306,0.696,2.7,3.8,6.5,0.9,0.9,0.7,9.8
12.0,"Tomczik, Kate 12 Tomczik, Kate",25,20.4,0.414,0.182,0.673,1.4,4.4,5.8,0.4,0.5,0.8,8.5
11.0,"Kricfalusi, Mikayla 11 Kricfalusi, Mikayla",2,26.5,0.5,0.0,1.0,4.0,4.0,8.0,0.0,0.5,0.5,7.5
5.0,"Ahooja, Sofia 05 Ahooja, Sofia",25,31.8,0.249,0.127,0.608,0.5,1.7,2.2,3.6,1.1,0.2,6.8
10.0,"Thomas, Sasha 10 Thomas, Sasha",2,6.0,0.444,0.429,1.0,0.5,0.0,0.5,0.0,0.0,0.0,6.5
32.0,"Coalson, Aidan 32 Coalson, Aidan",9,17.4,0.345,0.2,0.571,2.8,3.6,6.3,0.1,0.8,1.1,5.6
42.0,"Gubbrud, Ellie 42 Gubbrud, Ellie",25,23.6,0.461,0.0,0.542,2.2,4.4,6.6,0.4,0.8,1.1,4.3
23.0,"Collier, Claire 23 Collier, Claire",25,15.5,0.312,0.378,0.846,0.7,2.2,3.0,0.4,0.6,0.5,3.3
21.0,"Nyquist, Emmy 21 Nyquist, Emmy",22,24.0,0.279,0.242,0.824,0.5,1.9,2.4,2.1,0.8,0.0,3.5
13.0,"Filkins, Annie 13 Filkins, Annie",24,9.1,0.293,0.283,1.0,0.4,1.3,1.7,0.2,0.3,0.0,2.6
35.0,"Dos Santos, Stephany 35 Dos Santos, Stephany",21,10.5,0.464,0.0,0.444,1.6,1.4,3.0,0.1,0.1,0.1,1.6
14.0,"Shirley, Orion 14 Shirley, Orion",7,2.3,0.182,0.0,0.0,0.4,0.1,0.6,0.1,0.1,0.0,0.6
24.0,"Singleton, Aliya 24 Singleton, Aliya",8,4.4,0.286,0.0,0.0,0.5,0.8,1.3,0.0,0.3,0.0,0.5
,Total,25,201.0,0.371,0.26,0.667,14.3,28.2,42.5,9.3,6.8,4.1,65.12
,Opponents,25,201.0,0.382,0.302,0.706,13.0,27.2,40.2,14.2,7.3,3.0,67.48
