Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#25 Heath, Tyria",25,131,182,0.72,5.2,7.3
"#12 Tomczik, Kate",25,66,98,0.673,2.6,3.9
"#05 Ahooja, Sofia",25,59,97,0.608,2.4,3.9
"#20 Stender, Kathryn",25,48,69,0.696,1.9,2.8
"#42 Gubbrud, Ellie",25,26,48,0.542,1.0,1.9
"#21 Nyquist, Emmy",22,14,17,0.824,0.6,0.8
"#23 Collier, Claire",25,11,13,0.846,0.4,0.5
"#32 Coalson, Aidan",9,8,14,0.571,0.9,1.6
"#35 Dos Santos, Stephany",21,8,18,0.444,0.4,0.9
"#11 Kricfalusi, Mikayla",2,5,5,1.0,2.5,2.5
"#10 Thomas, Sasha",2,2,2,1.0,1.0,1.0
"#13 Filkins, Annie",24,1,1,1.0,0.0,0.0
"#24 Singleton, Aliya",8,0,4,0.0,0.0,0.5
