Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Central,11/08/19,48-68,-20,15-68/27-68,.221/.397,3-22/9-28,.136/.321,15-22/5-12,.682-.417,56/48 8,7/20,17/12,4/5,7/8,17/19
Nebraska Wesleyan,11/15/19,84-78,6,27-60/23-75,.450/.307,8-19/7-32,.421/.219,22-32/25-33,.688-.758,57/39 18,11/14,27/11,3/1,6/13,25/25
Emmaus,11/19/19,76-80,-4,21-67/29-69,.313/.420,6-20/9-20,.300/.450,28-41/13-17,.683-.765,50/47 3,8/19,15/16,5/4,7/9,20/23
Northwestern-St. Paul,11/23/19,66-76,-10,23-61/27-67,.377/.403,5-26/12-32,.192/.375,15-24/10-15,.625-.667,32/38 -6,9/20,15/14,1/2,8/6,16/22
Providence-Manitoba,11/24/19,85-67,18,33-81/25-69,.407/.362,6-27/5-25,.222/.200,13-16/12-19,.813-.632,55/40 15,18/13,15/19,4/2,11/11,15/16
Iowa Wesleyan University,11/26/19,84-59,25,32-71/19-53,.451/.358,7-23/6-17,.304/.353,13-16/15-22,.813-.682,44/33 11,16/8,7/12,11/1,6/2,18/15
Cornell College,12/04/19,44-49,-5,16-53/17-60,.302/.283,5-20/6-25,.250/.240,7-13/9-12,.538-.750,44/42 2,9/11,23/17,5/2,8/8,17/20
Knox,12/07/19,57-79,-22,22-58/32-62,.379/.516,3-12/6-17,.250/.353,10-16/9-16,.625-.563,38/36 2,10/22,26/18,2/4,10/14,15/21
Waldorf,12/13/19,63-57,6,23-71/21-65,.324/.323,4-16/5-21,.250/.238,13-24/10-17,.542-.588,55/47 8,11/12,19/15,2/6,10/6,17/19
Lake Forest,01/03/20,84-62,22,32-65/26-66,.492/.394,5-10/3-18,.500/.167,15-18/7-16,.833-.438,45/34 11,16/17,17/17,9/1,13/8,16/19
Lawrence,01/04/20,80-77,3,27-59/30-74,.458/.405,9-23/7-18,.391/.389,17-26/10-14,.654-.714,44/37 7,16/8,13/7,2/2,3/6,19/23
Monmouth (IL),01/08/20,66-59,7,23-51/20-66,.451/.303,3-11/4-24,.273/.167,17-31/15-20,.548-.750,41/43 -2,6/11,18/14,9/3,4/7,15/24
Ripon,01/11/20,53-81,-28,18-57/28-63,.316/.444,5-16/7-13,.313/.538,10-17/18-24,.588-.750,31/49 -18,7/14,15/15,4/10,3/4,21/24
Illinois College,01/15/20,72-68,4,26-62/25-64,.419/.391,5-15/3-13,.333/.231,15-30/15-26,.500-.577,40/45 -5,7/14,16/21,4/7,10/8,19/26
Lawrence,01/18/20,51-63,-12,17-62/22-54,.274/.407,4-29/1-11,.138/.091,13-26/18-24,.500-.750,38/45 -7,8/16,15/12,3/0,5/4,26/24
Cornell College,01/21/20,55-53,2,18-53/19-58,.340/.328,2-13/8-26,.154/.308,17-21/7-12,.810-.583,44/32 12,5/12,12/10,3/7,4/6,10/19
Knox,01/25/20,73-76,-3,22-61/28-65,.361/.431,8-21/7-17,.381/.412,21-23/13-20,.913-.650,38/44 -6,8/14,17/18,5/5,7/10,19/19
St. Norbert College,01/31/20,46-59,-13,15-49/23-64,.306/.359,5-20/5-15,.250/.333,11-20/8-12,.550-.667,35/41 -6,4/18,19/12,2/1,3/11,15/15
Ripon,02/01/20,62-68,-6,17-37/22-58,.459/.379,3-7/4-13,.429/.308,25-36/20-24,.694-.833,28/34 -6,10/10,22/15,5/2,7/5,21/24
Beloit,02/05/20,66-49,17,26-64/18-54,.406/.333,5-20/4-20,.250/.200,9-19/9-12,.474-.750,39/42 -3,10/8,16/25,5/2,9/4,15/17
Monmouth (IL),02/08/20,68-76,-8,27-58/26-59,.466/.441,6-17/12-24,.353/.500,8-12/12-13,.667-.923,38/28 10,7/17,19/13,1/0,8/6,12/15
Illinois College,02/12/20,67-72,-5,24-67/22-61,.358/.361,6-30/3-12,.200/.250,13-21/25-27,.619-.926,42/43 -1,12/8,14/13,2/4,4/5,20/21
Saint Norbert,02/15/20,46-78,-32,14-60/26-60,.233/.433,3-27/5-16,.111/.313,15-17/21-23,.882-.913,35/46 -11,4/21,13/10,4/1,5/2,19/16
Beloit,02/18/20,65-50,15,21-62/17-52,.339/.327,5-21/5-20,.238/.250,16-20/11-19,.800-.579,51/32 19,5/9,15/14,5/2,5/5,17/19
Lake Forest,02/22/20,69-83,-14,22-56/33-76,.393/.434,4-15/7-20,.267/.350,21-27/10-14,.778-.714,43/39 4,9/18,23/10,3/2,6/15,14/21
