Name,GP,STL,STL/G
"#25 Heath, Tyria",25,34,1.4
"#05 Ahooja, Sofia",25,27,1.1
"#20 Stender, Kathryn",25,23,0.9
"#42 Gubbrud, Ellie",25,19,0.8
"#21 Nyquist, Emmy",22,18,0.8
"#23 Collier, Claire",25,15,0.6
"#12 Tomczik, Kate",25,13,0.5
"#32 Coalson, Aidan",9,7,0.8
"#13 Filkins, Annie",24,7,0.3
"#35 Dos Santos, Stephany",21,2,0.1
"#24 Singleton, Aliya",8,2,0.3
"#11 Kricfalusi, Mikayla",2,1,0.5
"#14 Shirley, Orion",7,1,0.1
