Name,GP,MIN,MIN/G
"#05 Ahooja, Sofia",25,796,31.8
"#20 Stender, Kathryn",25,761,30.4
"#25 Heath, Tyria",25,742,29.7
"#42 Gubbrud, Ellie",25,589,23.6
"#21 Nyquist, Emmy",22,528,24.0
"#12 Tomczik, Kate",25,510,20.4
"#23 Collier, Claire",25,387,15.5
"#35 Dos Santos, Stephany",21,221,10.5
"#13 Filkins, Annie",24,218,9.1
"#32 Coalson, Aidan",9,157,17.4
"#11 Kricfalusi, Mikayla",2,53,26.5
"#24 Singleton, Aliya",8,35,4.4
"#14 Shirley, Orion",7,16,2.3
"#10 Thomas, Sasha",2,12,6.0
