Statistic,High,Opponent
POINTS,85,Providence-Manitoba (11/24/19)
FIELD GOALS MADE,33,Providence-Manitoba (11/24/19)
FIELD GOAL ATTEMPTS,81,Providence-Manitoba (11/24/19)
3 PT FIELD GOALS MADE,9,Lawrence (01/04/20)
3 PT FG ATTEMPTS,30,Illinois College (02/12/20)
FREE THROWS MADE,28,Emmaus (11/19/19)
FREE THROW ATTEMPTS,41,Emmaus (11/19/19)
REBOUNDS,57,Nebraska Wesleyan (11/15/19)
ASSISTS,18,Providence-Manitoba (11/24/19)
STEALS,13,Lake Forest (01/03/20)
BLOCKED SHOTS,11,Iowa Wesleyan University (11/26/19)
TURNOVERS,27,Nebraska Wesleyan (11/15/19)
FOULS,26,Lawrence (01/18/20)
