Statistic,Grinnell College,Opponents OPP
Scoring,Scoring,Scoring
Total Points TOT,1630,1687
Points Per Game PPG,65.2,67.5
Scoring Margin Margin,-2.3,--
Shooting,Shooting,Shooting
FG: Made-Attempted FGM-FGA,561-1513,605-1582
FG: Percentage FG%,.371,.382
FG: Per Game FGM/G,22.4,24.2
3PT: Made-Attempted 3PT-3PA,125-480,150-497
3PT: Percentage 3PT%,.260,.302
3PT: Per Game 3PT/G,5.0,6.0
FT: Made-Attempted FTM-FTA,379-568,327-463
FT: Percentage FT%,.667,.706
FT: Per Game FT/G,15.2,13.1
Rebounding,Rebounding,Rebounding
Total TOT,1063,1004
Per Game RPG,42.5,40.2
Margin,2.4,--
Assists,Assists,Assists
Total TOT,233,354
Per Game APG,9.3,14.2
Turnovers,Turnovers,Turnovers
Total TOT,428,360
Per Game TO/G,17.1,14.4
Margin,-2.7,--
Assist/Turnover Ratio A/TO,0.5,1.0
Points Off Turnovers PTS OFF TO,13.4,16.5
Steals,Steals,Steals
Total TOT,169,183
Per Game STL/G,6.8,7.3
Blocks,Blocks,Blocks
Total TOT,103,76
Per Game BLK/G,4.1,3.0
Attendance,Attendance,Attendance
Total TOT,4308,2516
Per Game AVG,12-359,13-194
