Name,GP,BLK,BLK/G
"#42 Gubbrud, Ellie",25,27,1.1
"#12 Tomczik, Kate",25,19,0.8
"#20 Stender, Kathryn",25,18,0.7
"#23 Collier, Claire",25,12,0.5
"#32 Coalson, Aidan",9,10,1.1
"#25 Heath, Tyria",25,9,0.4
"#05 Ahooja, Sofia",25,4,0.2
"#35 Dos Santos, Stephany",21,2,0.1
"#13 Filkins, Annie",24,1,0.0
"#11 Kricfalusi, Mikayla",2,1,0.5
