Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
9/01/2023,at Bethany Lutheran,L,5,42,24,182,0.099,32,7,12,14,83,5,10,1,10.0,3,59.0
9/01/2023,at Dominican (IL),L,4,35,16,132,0.144,35,6,14,10,65,0,14,0,7.0,0,48.0
9/02/2023,at Wis.-Stout,W,3,42,11,119,0.261,40,9,5,9,63,0,14,2,7.0,3,58.0
9/02/2023,at Crown (MN),L,3,23,20,113,0.027,20,1,3,4,63,1,8,2,5.0,3,29.0
9/05/2023,at Buena Vista,L,3,24,26,103,-0.019,23,8,5,7,36,0,2,2,1.0,1,33.0
9/08/2023,vs Luther,W,5,67,26,192,0.214,56,6,5,16,87,2,6,0,5.0,1,78.0
9/09/2023,Macalester,W,5,65,23,163,0.258,61,10,10,7,83,0,12,0,6.0,2,81.0
9/09/2023,vs Minn.-Morris,W,3,39,10,115,0.252,36,5,10,4,66,1,16,0,9.0,0,53.0
9/12/2023,at Wartburg,W,4,61,22,183,0.213,55,6,8,5,86,0,12,0,6.0,1,73.0
9/16/2023,vs Adrian,W,3,40,15,115,0.217,38,12,4,2,53,1,10,0,6.0,0,58.0
9/16/2023,vs Rose-Hulman,L,3,34,16,111,0.162,30,10,5,10,41,0,2,0,1.0,0,45.0
9/19/2023,Central (IA),L,4,52,28,171,0.14,50,7,10,6,85,7,2,1,8.0,1,67.0
9/23/2023,vs Gust. Adolphus,W,3,41,9,108,0.296,37,6,9,2,54,3,8,2,7.0,0,54.0
9/23/2023,Carleton,L,3,15,22,93,-0.075,13,4,7,11,40,0,4,2,2.0,1,21.0
9/29/2023,Loras,W,5,67,23,197,0.223,58,5,13,13,103,3,14,0,10.0,0,82.0
9/29/2023,vs Augustana (IL),W,3,45,12,121,0.273,39,8,6,2,72,2,4,0,4.0,1,57.0
9/30/2023,vs Wartburg College,W,3,42,9,109,0.303,33,3,3,5,80,4,11,2,9.5,4,54.5
9/30/2023,Coe,W,3,44,15,129,0.225,40,4,5,0,71,0,12,2,6.0,0,54.0
10/03/2023,Beloit,L,3,17,18,108,-0.009,15,2,5,8,33,0,4,1,2.0,2,21.0
10/07/2023,at Lawrence,L,3,13,10,79,0.038,13,3,3,7,34,1,2,1,2.0,4,18.0
10/13/2023,at Illinois Col.,W,3,35,12,121,0.19,31,5,6,3,54,1,6,0,4.0,0,44.0
10/14/2023,at Knox,L,3,18,19,97,-0.01,16,4,5,6,38,0,14,0,7.0,0,29.0
10/16/2023,Neb. Wesleyan,W,3,39,11,117,0.239,36,14,9,1,59,1,8,1,5.0,2,58.0
10/19/2023,Simpson,L,4,50,24,157,0.166,49,8,12,7,63,5,8,1,9.0,4,67.0
10/20/2023,at Dubuque,W,5,67,21,187,0.246,53,6,7,9,98,2,4,0,4.0,5,77.0
10/27/2023,Ripon,L,4,38,16,139,0.158,35,4,5,15,61,2,2,0,3.0,0,45.0
10/28/2023,Lake Forest,W,4,54,20,161,0.211,47,9,11,11,74,2,16,0,10.0,3,73.0
11/01/2023,at Cornell College,W,4,49,31,182,0.099,46,8,7,5,87,0,20,3,10.0,2,67.0
11/04/2023,Monmouth (IL),L,5,57,18,178,0.219,54,5,4,4,87,2,8,2,6.0,1,68.0
11/10/2023,Cornell College,W,3,41,17,109,0.22,34,8,5,2,46,3,10,0,8.0,0,57.0
,Opponents,,109,1256,544,4091,0.174,1125,193,213,205,1965,48,263,25,179.5,44,1628.5
,Grinnell,,109,1282,532,4067,0.184,1164,203,233,194,2032,40,128,11,104.0,43,1589.0
