#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,SET,SET,SERVE,SERVE,SERVE,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
1.0,"Smith, Kylie-Ann 1Smith, Kylie-Ann",33,12,0.0,4.0,0.12,0,0.0,1,9,-0.111,144,4.36,4,0.12,10,View Bio
2.0,"Adam, Amelia 2Adam, Amelia",7,4,1.0,2.0,0.29,0,0.0,1,3,-0.333,1,0.14,2,0.29,1,View Bio
3.0,"Miles, Malaina 3Miles, Malaina",89,27,18.0,130.5,1.47,108,1.21,44,342,0.187,7,0.08,2,0.02,1,View Bio
4.0,"Woock, Rachel 4Woock, Rachel",64,21,8.0,20.0,0.31,19,0.3,9,73,0.137,4,0.06,1,0.02,11,View Bio
5.0,"Vajda, Julianna 5Vajda, Julianna",36,15,1.0,8.0,0.22,0,0.0,1,5,-0.2,5,0.14,8,0.22,6,View Bio
6.0,"Richardson, Avery 6Richardson, Avery",14,7,2.0,19.5,1.39,18,1.29,10,76,0.105,0,0.0,0,0.0,4,View Bio
8.0,"Leonard, Millie 8Leonard, Millie",104,30,24.0,266.5,2.56,241,2.32,105,618,0.22,4,0.04,7,0.07,17,View Bio
9.0,"Nyquist, Emmy 9Nyquist, Emmy",93,28,12.0,25.0,0.27,2,0.02,1,23,0.043,24,0.26,23,0.25,12,View Bio
10.0,"Snell, Kylie 10Snell, Kylie",66,23,18.0,74.5,1.13,61,0.92,19,188,0.223,5,0.08,1,0.02,4,View Bio
11.0,"Taka, Hayley 11Taka, Hayley",105,29,18.0,277.0,2.64,247,2.35,92,833,0.186,7,0.07,16,0.15,20,View Bio
13.0,"Keller, Jenna 13Keller, Jenna",101,28,27.0,372.5,3.69,321,3.18,147,942,0.185,22,0.22,36,0.36,30,View Bio
14.0,"Brewer, Emily 14Brewer, Emily",109,30,30.0,109.5,1.0,54,0.5,17,204,0.181,854,7.83,45,0.41,53,View Bio
15.0,"Weber, Sophie 15Weber, Sophie",106,30,2.0,43.0,0.41,1,0.01,1,22,0.0,60,0.57,42,0.4,46,View Bio
21.0,"O'Neill, Ella 21O'Neill, Ella",6,4,1.0,4.5,0.75,4,0.67,1,15,0.2,0,0.0,0,0.0,0,View Bio
22.0,"Choy, Gabby 22Choy, Gabby",36,13,1.0,12.0,0.33,1,0.03,3,14,-0.143,22,0.61,11,0.31,10,View Bio
23.0,"Sullivan, Keira 23Sullivan, Keira",65,21,9.0,173.0,2.66,161,2.48,59,544,0.188,4,0.06,5,0.08,4,View Bio
33.0,"Mlynski, Nicole 33Mlynski, Nicole",36,12,7.0,47.5,1.32,44,1.22,21,156,0.147,1,0.03,0,0.0,4,View Bio
,Total,109,30,,1589.0,14.58,1282,11.76,532,4067,0.184,1164,10.68,203,1.86,233,
,Opponents,109,30,,1628.5,14.94,1256,11.52,544,4091,0.174,1125,10.32,193,1.77,213,
