Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 9, 2022 (Friday)",6 p.m.,Home,UW-Stevens Point,"De Pere, Wis./Green Bay Tennis Center",,,,"L,5-4",Box ScoreRecapBox Score (PDF)Gallery
"September 24, 2022 (Saturday)",2:30 p.m.,Away,Carroll Univ.,"Waukesha, Wis.",,,,"L,8-1",Box ScoreRecapBox Score (PDF)
"February 3, 2023 (Friday)",7 p.m.,Home,Ripon College,"De Pere, Wis./Green Bay Tennis Center",,,,"W,8-1",Box ScoreRecapBox Score (PDF)
"February 4, 2023 (Saturday)",6:30 p.m.,Home,Lawrence Univ.,"De Pere, Wis./Green Bay Tennis Center",,,,"W,8-1",Box ScoreRecapBox Score (PDF)
"February 5, 2023 (Sunday)",9 a.m.,Home,St. Mary's Univ.,"De Pere, Wis./Green Bay Tennis Center",,,,"W,5-4",Box ScoreRecapBox Score (PDF)
"February 5, 2023 (Sunday)",1 p.m.,Home,UW-Stevens Point,"De Pere, Wis./Green Bay Tennis Center",,,,"W,5-4",Box ScoreRecapBox Score (PDF)
"February 19, 2023 (Sunday)",8 a.m.,Home,UW-Superior,"De Pere, Wis./Green Bay Tennis Center",,,,"L,7-2",Box ScoreRecapBox Score (PDF)
"February 19, 2023 (Sunday)",2 p.m.,Home,Loras College,"De Pere, Wis./Green Bay Tennis Center",,,,"L,6-3",Box ScoreRecapResults (PDF)
"February 24, 2023 (Friday)",11 a.m.,Home,Hamline Univ.,"De Pere, Wis./Green Bay Tennis Center",,,,"L,7-2",Box ScoreRecapBox Score (PDF)
"March 18, 2023 (Saturday)",3 p.m.,Home,Lakeland Univ.,"De Pere, Wis./Green Bay Tennis Center",,,,"W,7-2",Box ScoreRecapBox Score (PDF)
"March 19, 2023 (Sunday)",3 p.m.,Away,Concordia Univ. Chicago,"Countryside, Ill. / Score Tennis & Fitness Academy",,,,"W,7-2",Box ScoreRecapBox Score (PDF)
"March 25, 2023 (Saturday)",1:30 p.m.,Home,Illinois Institute of Technology,"De Pere, Wis./Green Bay Tennis Center",,,,"L,6-3",Box ScoreRecapBox Score (PDF)
"April 1, 2023 (Saturday)",10:30 a.m.,Away,Concordia Univ. Wisconsin,"Mequon, Wis.",,,,"W,5-4",Box ScoreRecapBox Score (PDF)
"April 2, 2023 (Sunday)",3 p.m.,Home,Wisconsin Lutheran College,"De Pere, Wis./Green Bay Tennis Center",,,,"W,7-2",Box ScoreRecapBox Score (PDF)
"April 8, 2023 (Saturday)",3 p.m.,Away,Milwaukee School of Engineering,"Racine, Wis. / Racine Indoor Tennis Club",,,,"W,6-3",Box ScoreRecapBox Score (PDF)
"April 15, 2023 (Saturday)",11 a.m.,Away,Edgewood College,"Madison, Wis. / Nielsen Tennis Stadium",,,,"W,8-1",Box ScoreRecapBox Score (PDF)
"April 16, 2023 (Sunday)",1 p.m.,Home,Marian Univ.,"De Pere, Wis./Green Bay Tennis Center",,,,"W,9-0",Box ScoreRecapBox Score (PDF)
"April 27, 2023 (Thursday)",11 a.m.,Home,Milwaukee School of Engineering (Semifinal Match),"De Pere, Wis./Green Bay Tennis Center",,,Northern Athletics Collegiate Conference Tournament,"L,5-1",Box ScoreRecapBox Score (PDF)
