School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Lake Forest^,9-0,1.000,10-1,.909,L1,5-0,5-1,0-0
Monmouth (IL),8-1,.889,9-2,.818,W2,4-1,4-1,1-0
Illinois Col.,7-2,.778,8-2,.800,W6,5-0,3-2,0-0
University of Chicago,6-3,.667,6-4,.600,L1,3-2,3-2,0-0
Cornell College,5-4,.556,5-5,.500,W1,3-2,2-3,0-0
Ripon,4-5,.444,4-6,.400,W2,4-1,0-5,0-0
Knox,2-7,.222,3-7,.300,L1,1-4,2-3,0-0
Grinnell,2-7,.222,2-8,.200,L3,0-5,2-3,0-0
Beloit,1-8,.111,1-9,.100,L7,0-5,1-4,0-0
Lawrence,1-8,.111,1-9,.100,L4,0-5,1-4,0-0
