School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Illinois Col.,8-1,.889,9-2,.818,L1,4-1,5-1,0-0
Monmouth (IL),8-1,.889,9-2,.818,W7,5-0,3-2,1-0
Lake Forest,6-3,.667,7-3,.700,L2,4-1,3-2,0-0
Cornell College,6-3,.667,6-4,.600,W1,3-2,3-2,0-0
University of Chicago,6-3,.667,6-4,.600,W3,3-2,3-2,0-0
Ripon,5-4,.556,5-5,.500,W2,1-3,4-2,0-0
Knox,3-6,.333,3-7,.300,L1,2-3,1-4,0-0
Grinnell,2-7,.222,2-8,.200,L6,1-4,1-4,0-0
Beloit,1-8,.111,2-8,.200,L4,1-5,1-3,0-0
Lawrence,0-9,.000,0-10,.000,L10,0-5,0-5,0-0
