School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Monmouth (IL),8-0,1.000,10-1,.909,L1,5-0,5-1,0-0
St. Norbert College,7-1,.875,7-3,.700,W1,4-1,3-2,0-0
Lake Forest,6-2,.750,8-2,.800,W5,4-1,4-1,0-0
Macalester College,6-2,.750,7-3,.700,L1,4-1,3-2,0-0
Illinois Col.,5-3,.625,6-4,.600,W1,2-3,4-1,0-0
Cornell College,4-4,.500,5-5,.500,W2,2-3,3-2,0-0
Beloit,2-6,.250,3-7,.300,L3,1-4,2-3,0-0
Lawrence,2-6,.250,3-7,.300,L2,3-2,0-5,0-0
Knox,2-6,.250,2-8,.200,L1,1-4,1-4,0-0
Ripon,2-6,.250,2-8,.200,W1,2-2,0-6,0-0
Grinnell,0-8,.000,0-10,.000,L10,0-6,0-4,0-0
