School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Lake Forest^,9-0,1.000,10-1,.909,L1,5-0,5-1,0-0
Monmouth (IL),8-1,.889,8-2,.800,W2,4-1,4-1,0-0
University of Chicago,7-2,.778,8-2,.800,L1,5-0,3-2,0-0
Ripon,5-3,.625,6-3,.667,L1,3-2,3-1,0-0
Illinois Col.,5-4,.556,5-5,.500,W5,2-3,3-2,0-0
Cornell College,4-5,.444,4-6,.400,W2,2-3,2-3,0-0
Knox,3-6,.333,3-6,.333,L2,2-3,1-3,0-0
Grinnell,2-7,.222,2-8,.200,L6,1-4,1-4,0-0
Lawrence,1-7,.125,2-7,.222,L2,2-2,0-5,0-0
Beloit,0-9,.000,0-10,.000,L10,0-6,0-4,0-0
