School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Lake Forest,8-1,.889,9-2,.818,L1,5-1,4-1,0-0
Monmouth (IL),8-1,.889,9-2,.818,W3,4-1,4-1,1-0
Ripon,8-1,.889,9-1,.900,W1,6-0,3-1,0-0
University of Chicago,6-3,.667,7-3,.700,L1,3-2,4-1,0-0
Illinois Col.,4-4,.500,5-4,.556,W4,3-2,2-2,0-0
Knox,4-5,.444,5-5,.500,L1,2-3,3-2,0-0
Cornell College,3-6,.333,3-7,.300,W1,1-4,2-3,0-0
Grinnell,2-6,.250,2-6,.250,L5,1-1,1-5,0-0
Beloit,1-8,.111,1-9,.100,L3,1-3,0-6,0-0
Lawrence,0-9,.000,0-10,.000,L10,0-5,0-5,0-0
