Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Fritts, Rachel",SR-4,1:08.71,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014"
,"Bresette-Buccino, Nora",SO-2,1:12.46,Wartburg Outdoor Twilight,"Apr 22, 2014"
