#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
5.0,"Vermeulen, Lizzy 5 Vermeulen, Lizzy",0.436,1.078,14-13,39,4,17,6,0,0,10,23,0.59,3,1,7,0,0.488,0,0,0-1,View Bio
23.0,"Durak, Taylor 23 Durak, Taylor",0.4,0.982,16-15,45,12,18,4,0,1,8,25,0.556,2,0,8,0,0.426,0,0,1-1,View Bio
88.0,"Chu, Samantha 88 Chu, Samantha",0.373,0.897,15-15,51,12,19,4,1,0,9,25,0.49,3,0,3,0,0.407,0,0,4-4,View Bio
2.0,"Okada, Alexa 2 Okada, Alexa",0.354,0.975,16-16,48,11,17,3,2,0,9,24,0.5,8,3,11,0,0.475,0,2,3-3,View Bio
10.0,"Ramirez, Amanda 10 Ramirez, Amanda",0.314,0.739,14-12,35,5,11,2,0,0,5,13,0.371,2,1,2,0,0.368,0,1,4-4,View Bio
26.0,"Anson, Kambria 26 Anson, Kambria",0.31,0.753,15-15,42,11,13,2,0,0,8,15,0.357,6,0,7,0,0.396,0,0,3-4,View Bio
22.0,"Webb, Mary 22 Webb, Mary",0.231,0.582,16-14,39,8,9,1,0,0,5,10,0.256,6,0,11,0,0.326,1,3,1-1,View Bio
34.0,"DiGiacomo-Zahller, Emma 34 DiGiacomo-Zahller, Emma",0.222,0.543,16-13,36,1,8,3,0,0,7,11,0.306,1,0,8,0,0.237,1,2,0-1,View Bio
19.0,"O'Bryan, Maddy 19 O'Bryan, Maddy",0.208,0.509,12-8,24,5,5,1,0,0,1,6,0.25,1,1,4,0,0.259,1,0,1-2,View Bio
12.0,"Nelson, Emma 12 Nelson, Emma",0.174,0.47,13-8,23,4,4,0,0,0,2,4,0.174,4,0,8,0,0.296,0,0,0-0,View Bio
8.0,"Bishop-Parise, Leila 8 Bishop-Parise, Leila",0.367,0.824,10-10,30,5,11,1,0,0,6,12,0.4,2,1,1,0,0.424,0,1,2-2,View Bio
20.0,"Johnson, Flynn 20 Johnson, Flynn",0.214,0.571,6-5,14,2,3,2,0,0,3,5,0.357,0,0,1,0,0.214,0,0,0-0,View Bio
13.0,"Killion, Kyra 13 Killion, Kyra",0.143,0.476,7-2,7,2,1,0,0,0,0,1,0.143,2,0,1,0,0.333,0,1,0-0,View Bio
,Totals,0.314,0.781,16-16,433,82,136,29,3,1,73,174,0.402,40,7,72,0,0.379,3,10,19-23,
,Opponents,0.265,0.675,16-16,422,61,112,16,0,2,54,134,0.318,54,7,60,3,0.357,1,9,5-7,
