Statistic,High,Player,Opponent
AT BATS,5,Alexa Okada; Taylor Durak,Cornell College (4/24/2021); Knox (4/22/2021); Cornell College (5/2/2021)
RUNS SCORED,3,Samantha Chu,Knox (4/22/2021)
HITS,4,Taylor Durak; Samantha Chu,Cornell College (4/24/2021); Knox (4/22/2021)
RBIS,4,Lizzy Vermeulen,Knox (4/22/2021)
DOUBLES,2,Taylor Durak; Lizzy Vermeulen; Alexa Okada,Cornell College (4/24/2021); Knox (4/22/2021); Knox (4/22/2021); Cornell College (5/2/2021)
TRIPLES,1,A. Okada; Samantha Chu; Alexa Okada,Knox (4/21/2021); Knox (4/22/2021); Cornell College (5/2/2021)
HOME RUNS,1,Taylor Durak,Knox (4/22/2021)
WALKS,2,Leila Bishop-Parise; K. Anson; Amanda Ramirez; Mary Webb; Alexa Okada,Cornell College (4/24/2021); Monmouth (Ill.) (4/25/2021); Knox (4/22/2021); Cornell College (5/2/2021); Cornell College (5/2/2021)
STRIKEOUTS,2,Alexa Okada; M. Webb; Samantha Chu; Taylor Durak; Kami Anson,Cornell College (4/24/2021); Monmouth (Ill.) (4/25/2021); Illinois College (5/8/2021); Illinois College (5/10/2021); Illinois College (4/18/2021)
SAC HITS,1,A. Okada; Mary Webb; L. Bishop-Pa; Alexa Okada,Knox (4/21/2021); Cornell College (4/24/2021); Cornell College (4/24/2021); Monmouth (Ill.) (4/25/2021); Illinois College (5/8/2021)
SAC FLIES,1,M. O'Bryan; M. Webb; E. DiGiacomo Zahller,Knox (4/21/2021); Monmouth (Ill.) (4/25/2021); Cornell College (5/2/2021)
STOLEN BASES,2,A. Okada; Samantha Chu,Knox (4/21/2021); Illinois College (4/18/2021)
HIT BY PITCH,1,A. Okada; Alexa Okada; A. Ramirez; Lizzy Vermeulen; Leila Bishop-Parise,Knox (4/21/2021); Cornell College (4/24/2021); Monmouth (Ill.) (4/25/2021); Illinois College (5/10/2021); Knox (4/22/2021)
CAUGHT STEALING,1,K. Anson; Lizzy Vermeulen; E. DiGiacomo Zahller; Maddy O'Bryan,Knox (4/21/2021); Cornell College (4/24/2021); Knox (4/22/2021); Cornell College (5/2/2021)
HIT INTO DP,1,Taylor Durak; K. Anson; A. Okada; E. DiGiacomo Zahller; Lizzy Vermeulen,Cornell College (4/24/2021); Monmouth (Ill.) (4/25/2021); Monmouth (Ill.) (4/25/2021); Illinois College (5/8/2021); Cornell College (5/2/2021)
