Player,2,3,4,5+,Total
"Chu, Samantha",5,-,1,-,6
"Okada, Alexa",4,1,-,-,5
"Vermeulen, Lizzy",3,1,1,-,5
"Durak, Taylor",2,1,1,-,4
"Bishop-Parise, Leila",2,1,-,-,3
"Ramirez, Amanda",3,-,-,-,3
"Anson, Kambria",2,1,-,-,3
"Webb, Mary",2,-,-,-,2
"DiGiacomo-Zahller, Emma",1,1,-,-,2
TEAM,24,6,3,0,33
