Statistic,High,Player,Opponent
PUTOUTS,10,Mary Webb,Illinois College (4/18/2021)
ASSISTS,5,A. Ramirez; Christin Hartman,Knox (4/21/2021); Cornell College (4/24/2021); Monmouth (Ill.) (4/25/2021); Illinois College (5/8/2021)
ERRORS,3,Alexa Okada,Monmouth College (5/11/2021)
PASSED BALLS,1,L. Vermeulen; Lizzy Vermeulen,Knox (4/21/2021); Illinois College (5/8/2021); Illinois College (5/10/2021); Cornell College (5/2/2021)
DPS TURNED,2,M. Webb,Monmouth (Ill.) (4/25/2021)
