Player,2,3,4,5+,Total
"Chu, Samantha",2,1,-,-,3
"Vermeulen, Lizzy",1,-,1,-,2
"Ramirez, Amanda",2,-,-,-,2
"Durak, Taylor",1,1,-,-,2
"Anson, Kambria",2,-,-,-,2
"DiGiacomo-Zahller, Emma",1,1,-,-,2
"Okada, Alexa",1,-,-,-,1
"Bishop-Parise, Leila",-,1,-,-,1
"Johnson, Flynn",1,-,-,-,1
TEAM,11,4,1,0,16
