#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
15.0,"Hartman, Christin 15Hartman, Christin",2.79,1.21,5-3,12-8,5,0-0,0,57.2,54,27,23,16,31,9,0,2,223,0.242,1,1,0,1,6,View Bio
11.0,"Vermeulen, Kathryn 11Vermeulen, Kathryn",4.38,1.85,3-2,8-4,1,0-0,1,30.1,36,22,19,20,21,4,0,0,125,0.288,5,4,0,0,2,View Bio
23.0,"Durak, Taylor 23Durak, Taylor",4.0,2.0,1-2,5-3,0,0-0,0,14.0,16,9,8,12,7,2,0,0,59,0.271,2,1,0,0,1,View Bio
19.0,"O'Bryan, Maddy 19O'Bryan, Maddy",5.73,3.27,0-0,2-1,0,0-0,0,3.2,6,3,3,6,1,1,0,0,15,0.4,0,1,0,0,0,View Bio
,Totals,3.51,1.58,9-7,27-16,6,1,1,105.2,112,61,53,54,60,16,0,2,422,0.265,8,7,0,1,9,
,Opponents,4.88,1.69,7-9,24-16,10,2,0,104.2,136,82,73,40,72,29,3,1,433,0.314,7,7,0,3,10,
