Statistic,High,Opponent
AT BATS,40,Knox (4/22/2021)
RUNS SCORED,12,Knox (4/22/2021)
HITS,20,Knox (4/22/2021)
RBIS,12,Knox (4/22/2021)
DOUBLES,4,Knox (4/21/2021); Knox (4/22/2021); Knox (4/22/2021); Monmouth College (5/11/2021)
TRIPLES,1,Knox (4/21/2021); Knox (4/22/2021); Cornell College (5/2/2021)
HOME RUNS,1,Knox (4/22/2021)
WALKS,7,Cornell College (5/2/2021)
STRIKEOUTS,9,Cornell College (4/24/2021); Illinois College (4/18/2021)
SAC HITS,2,Cornell College (4/24/2021); Cornell College (5/2/2021)
SAC FLIES,1,Knox (4/21/2021); Monmouth (Ill.) (4/25/2021); Cornell College (5/2/2021)
STOLEN BASES,2,Knox (4/21/2021); Monmouth (Ill.) (4/25/2021); Monmouth (Ill.) (4/25/2021); Illinois College (5/10/2021); Illinois College (4/18/2021)
HIT BY PITCH,1,Knox (4/21/2021); Cornell College (4/24/2021); Monmouth (Ill.) (4/25/2021); Illinois College (5/10/2021); Knox (4/22/2021)
CAUGHT STEALING,1,Knox (4/21/2021); Cornell College (4/24/2021); Knox (4/22/2021); Cornell College (5/2/2021)
HIT INTO DP,2,Cornell College (4/24/2021)
