Statistic,High,Player,Opponent
INNINGS PITCHED,9.0,Christin Hartman,Cornell College (4/24/2021)
RUNS ALLOWED,9.0,Christin Hartman,Illinois College (5/8/2021)
EARNED RUNS,9.0,Christin Hartman,Illinois College (5/8/2021)
WALKS ALLOWED,6.0,Kathryn Vermeulen; Christin Hartman,Cornell College (4/24/2021); Cornell College (4/24/2021); Cornell College (5/2/2021)
STRIKEOUTS,7.0,Kathryn Vermeulen,Monmouth College (5/11/2021)
HITS ALLOWED,13.0,Christin Hartman,Cornell College (4/24/2021); Illinois College (5/8/2021)
DOUBLES ALLOWED,4.0,Christin Hartman,Illinois College (5/8/2021)
HOME RUNS ALLOWED,2.0,Christin Hartman,Cornell College (4/24/2021)
WILD PITCHES,2.0,Kathryn Vermeulen,Illinois College (4/18/2021)
HIT BATTERS,1.0,M. O'Bryan; T. Durak; K. Vermeulen; Kathryn Vermeulen; Christin Hartman,Knox (4/21/2021); Monmouth (Ill.) (4/25/2021); Monmouth (Ill.) (4/25/2021); Illinois College (4/18/2021); Illinois College (4/18/2021)
