Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
4/18/2021,at,Illinois College,L,2-3,28,2,5,1,0,0,0,1,0,2,0,0,0,0,0,9,20,7,1,0.179
4/18/2021,at,Illinois College,L,0-4,25,0,5,0,3,0,0,2,0,1,0,0,0,0,0,4,18,7,3,0.2
4/21/2021,,Knox,W,11-0,21,11,12,11,4,1,0,5,0,1,1,0,0,1,0,0,15,6,1,0.571
4/21/2021,,Knox,W,4-2,25,4,8,4,3,0,0,3,0,2,0,1,1,0,0,3,21,10,2,0.32
4/22/2021,at,Knox,W,12-5,40,12,20,12,4,1,1,1,0,1,0,0,0,0,0,1,21,10,0,0.5
4/22/2021,at,Knox,W,5-3,30,5,11,5,4,0,0,3,0,0,1,1,1,0,0,4,21,7,0,0.367
4/24/2021,,Cornell College,L,3-11,20,3,3,2,0,0,0,2,0,1,1,1,1,0,0,3,18,11,2,0.15
4/24/2021,,Cornell College,W,6-5,38,6,13,5,3,0,0,3,0,1,0,0,2,0,0,9,27,10,0,0.342
4/25/2021,,Monmouth (Ill.),L,1-2,24,1,3,1,1,0,0,0,0,2,0,0,0,0,0,6,21,10,1,0.125
4/25/2021,,Monmouth (Ill.),W,10-1,20,10,10,7,1,0,0,5,0,2,0,1,1,1,0,1,15,3,1,0.5
5/2/2021,at,Cornell College,W,8-1,29,8,11,8,0,1,0,7,0,0,1,1,2,0,0,3,21,7,0,0.379
5/2/2021,at,Cornell College,W,4-3,27,4,8,3,2,0,0,4,0,1,0,0,0,1,0,6,21,11,0,0.296
5/8/2021,,Illinois College,L,2-9,23,2,4,2,0,0,0,3,0,0,0,0,1,0,0,7,21,10,1,0.174
5/10/2021,,Illinois College,L,5-8,30,5,9,4,0,0,0,0,0,2,0,1,0,0,0,7,21,7,2,0.3
5/11/2021,at,Monmouth College,L,0-3,23,0,2,0,0,0,0,1,0,1,0,0,1,0,0,8,18,5,5,0.087
5/11/2021,at,Monmouth College,W,9-1,30,9,12,8,4,0,0,0,0,2,0,1,0,0,0,1,18,5,0,0.4
Total,,,,82-61,433,82,136,73,29,3,1,40,0,19,4,7,10,3,0,72,317,126,19,
