Statistic,High,Opponent
INNINGS PITCHED,9.0,Cornell College (4/24/2021)
RUNS ALLOWED,11.0,Cornell College (4/24/2021)
EARNED RUNS,9.0,Cornell College (4/24/2021); Illinois College (5/8/2021)
WALKS ALLOWED,9.0,Cornell College (4/24/2021)
STRIKEOUTS,7.0,Knox (4/22/2021); Monmouth College (5/11/2021)
HITS ALLOWED,13.0,Cornell College (4/24/2021); Illinois College (5/8/2021)
DOUBLES ALLOWED,4.0,Illinois College (5/8/2021)
HOME RUNS ALLOWED,2.0,Cornell College (4/24/2021)
WILD PITCHES,2.0,Cornell College (4/24/2021); Illinois College (4/18/2021)
HIT BATTERS,2.0,Knox (4/21/2021)
