Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Assistant Coach,Men's Team Number of Assistant Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Assistant Coach,Women's Team Number of Assistant Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Assistant Coach,Coed Team Number of Assistant Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,1266,29,24476,1.50,1069,16,24434,0.70,,,,
2004,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,1545,22,3862,8.80,1500,8,3750,3.20,,,,
2005,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,1767,31,0,,1202,22,0,,,,,
2006,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,3218,32,14302,7.20,2261,18,9690,4.20,,,,
2007,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,1866,27,7464,6.75,1257,17,5028,4.25,,,,
2008,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,5455,23,17306,7.25,5230,11,19177,3.00,,,,
2009,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,7793,14,22357,4.88,3691,13,14196,3.38,,,,
2010,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,6648,22,21320,6.86,1673,13,9138,2.38,,,,
2011,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,7610,17,27409,4.72,2327,11,27231,0.94,,,,
2012,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,5300,25,28072,4.72,1216,21,27166,0.94,,,,
2013,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,6878,20,26252,5.24,1833,15,26186,1.05,,,,
2014,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,7480,18,22591,5.96,2622,12,22636,1.39,,,,
2015,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,9655,20,35431,5.00,2831,10,28310,1.00,,,,
2016,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,8466,26,36085,6.10,2442,17,22440,1.85,,,,
2017,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,8699,24,35088,5.95,2417,15,19082,1.90,,,,
2018,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,8715,23,33131,6.05,2617,15,20661,1.90,,,,
2019,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,9880,21,35467,5.85,1883,13,14399,1.70,,,,
2020,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,13209,11,36785,3.95,2628,8,17520,1.20,,,,
2021,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,13897,19,43428,6.08,4420,17,26740,2.81,,,,
2022,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,10225,24,27824,8.82,6097,16,23281,4.19,,,,
