Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Recruiting Expenses,Women's Team Recruiting Expenses,Coed Team Recruiting Expenses
2003,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2004,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,22000,22000,
2005,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,24100,24100,
2006,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,25152,25152,
2007,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,24531,24531,
2008,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,25605,25605,
2009,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,29955,29955,
2010,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,59790,32194,
2011,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,68800,43987,
2012,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,51130,29349,
2013,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,53397,29122,
2014,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,44714,24354,
2015,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,50137,35728,
2016,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,44570,28496,
2017,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,38917,23853,
2018,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,37468,25539,
2019,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,20914,18598,
2020,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,15362,9547,
2021,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,35325,21499,
2022,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,44643,28063,
