Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2003,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,624,718,1342,,,,,,,,,65315,,,65315,76467,86140,,162607,,,,,,,,,,,,,,,,,,,,,8566,8566,,17132,,,,,102837,,,102837,23591,,,23591,,,,,103291,,,103291,,,,,,,,,,,,,,,,,,,,,,,,,58570,47441,,106011,,47384,,47384,,,,,42429,44958,,87387,,,,,,,,,,,,,,,,,7975,6415,,14390,23103,23103,,46206,23103,23103,,46206,8447,9507,,17954,,40956,,40956,,,,,,,,,34133,,,34133,,,,,577827,337573,,147795,1063195
2004,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,598,726,1324,,,,,,,,,70278,,,70278,89645,105729,,195374,,,,,,,,,47246,39326,,86572,,,,,,,,,8945,8945,,17890,,,,,192046,,,192046,19000,,,19000,,,,,120888,,,120888,,,,,,,,,,,,,,,,,,,,,,,,,57165,43599,,100764,,68653,,68653,,,,,35615,32906,,68521,,,,,,,,,,,,,,,,,13380,8419,,21799,,,,,,,,,,,,,,32709,,32709,,,,,,,,,33625,,,33625,,,,,687833,340286,,458936,1487055
2005,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,630,753,1383,,,,,,,,,61659,,,61659,117336,116009,,233345,,,,,,,,,,,,,,,,,,,,,10039,10039,,20078,,,,,175019,,,175019,12344,,,12344,,,,,125147,,,125147,,,,,,,,,,,,,,,,,,,,,,,,,48501,53149,,101650,,105597,,105597,,,,,30890,29150,,60040,,,,,,,,,,,,,,,,,12097,18839,,30936,17743,12975,,30718,17743,12975,,30718,10303,16223,,26526,,35910,,35910,,,,,,,,,27809,,,27809,,,,,666630,410866,,437747,1515243
2006,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,630,753,1383,,,,,,,,,48005,,,48005,72230,61416,,133646,,,,,,,,,46019,43841,,89860,,,,,,,,,13250,13250,,26500,,,,,130807,,,130807,20789,,,20789,,,,,160604,,,160604,,,,,,,,,,,,,,,,,,,,,,,,,33816,31717,,65533,,54719,,54719,,,,,24350,22384,,46734,,,,,,,,,,,,,,,,,19343,17397,,36740,,,,,,,,,,,,,,41337,,41337,,,,,,,,,52223,,,52223,,,,,621436,286061,,424464,1331961
2007,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,632,738,1370,,,,,,,,,65014,,,65014,105503,90112,,195615,,,,,,,,,56290,53527,,109817,,,,,,,,,11653,11653,,23306,,,,,237549,,,237549,14925,,,14925,,,,,155911,,,155911,,,,,,,,,,,,,,,,,,,,,,,,,53188,53725,,106913,,111270,,111270,,,,,37017,36599,,73616,,,,,,,,,,,,,,,,,27810,25047,,52857,,,,,,,,,,,,,,70757,,70757,,,,,,,,,33878,,,33878,,,,,798738,452690,,522688,1774116
2008,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,654,761,1415,,,,,,,,,91386,,,91386,111958,94463,,206421,,,,,,,,,68684,53351,,122035,,,,,,,,,10814,9810,,20624,,,,,272669,,,272669,18018,,,18018,,,,,158895,,,158895,,,,,,,,,,,,,,,,,,,,,,,,,57167,77795,,134962,,76331,,76331,,,,,39801,39134,,78935,,,,,,,,,,,,,,,,,36409,25660,,62069,,,,,,,,,,,,,,78341,,78341,,,,,,,,,39729,,,39729,,,,,905530,454885,,570460,1930875
2009,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,652,755,1407,,,,,,,,,92474,,,92474,94604,92113,,186717,,,,,,,,,50882,49662,,100544,,,,,,,,,12232,10191,,22423,,,,,241109,,,241109,10064,,,10064,,,,,194122,,,194122,,,,,,,,,,,,,,,,,,,,,,,,,54824,69688,,124512,,68043,,68043,,,,,34596,39528,,74124,,,,,,,,,,,,,,,,,25309,25079,,50388,,,,,,,,,,,,,,78974,,78974,,,,,,,,,,,,,,,,,810216,433278,,627166,1870660
2010,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,687,802,1489,,,,,,,,,90307,,,90307,98427,80118,,178545,,,,,,,,,54857,47854,,102711,,,,,,,,,16963,9973,,26936,,,,,249383,,,249383,9756,,,9756,,,,,195094,,,195094,,,,,,,,,,,,,,,,,,,,,,,,,48070,57538,,105608,,76452,,76452,,,,,38038,38561,,76599,,,,,,,,,,,,,,,,,31733,31809,,63542,,,,,,,,,,,,,,78938,,78938,,,,,,,,,,,,,,,,,832628,421243,,651298,1905169
2011,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,648,766,1414,,,,,,,,,100661,,,100661,112225,100663,,212888,,,,,,,,,58394,57119,,115513,,,,,,,,,18685,13573,,32258,,,,,267017,,,267017,10862,,,10862,,,,,241132,,,241132,,,,,,,,,,,,,,,,,,,,,,,,,85999,65131,,151130,,89650,,89650,,,,,45240,47387,,92627,,,,,,,,,,,,,,,,,31786,39915,,71701,,,,,,,,,,,,,,130069,,130069,,,,,,,,,,,,,,,,,972001,543507,,617643,2133151
2012,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,669,766,1435,,,,,,,,,109356,,,109356,114631,101601,,216232,,,,,,,,,64796,59838,,124634,,,,,,,,,19083,10475,,29558,,,,,206931,,,206931,12683,,,12683,,,,,226353,,,226353,,,,,,,,,,,,,,,,,,,,,,,,,85226,73892,,159118,,96981,,96981,,,,,39467,48066,,87533,,,,,,,,,,,,,,,,,37477,31357,,68834,,,,,,,,,,,,,,90417,,90417,,,,,,,,,,,,,,,,,916003,512627,,642341,2070971
