0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Evan Bunis,13,1008,72,-,7,-,3,3,+7,77.5,-,-,-
JP DeFranco,14,1093,68,1,8,1,1,2,+7,78.1,-,-,-
Carlo Morini,14,1140,75,-,7,-,-,-,+10,81.4,-,-,-
Zach McGriff,15,1222,76,-,8,-,1,3,+10,81.5,-,-,-
Jake Van Oort,14,1186,77,-,8,-,-,1,+14,84.7,-,-,-
Nirabh Koirala,10,872,82,-,5,-,-,1,+16,87.2,-,-,-
FOUR-PLAYER TEAM,15,4811,301,1,8,1,5,10,+36,320.7,,,
