Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Kaczmarczyk, Crystal",FR-1,13:01.36,Midwest Conference Outdoor Championship,"May 13, 2022"
,"LeBlanc, Megan",JR-3,13:22.15,Midwest Conference Outdoor Championship,"May 13, 2022"
,"Timmermans, Merel",SR-4,13:32.82,Mustang Open,"Apr 9, 2022"
