Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Carchidi, Eva",SO-2,26.44,Monmouth College Fighting Scots Outdoor,"May 7, 2022",1.2
,"Olowu, Paige",SR-4,26.99,Mustang Open,"Apr 9, 2022",1.0
,"Frasca, Athena",JR-3,27.31,Monmouth College Fighting Scots Outdoor,"May 7, 2022",-0.4
,"Crowe, Maile",FR-1,27.6,Mustang Open,"Apr 9, 2022",1.0
,"Edassery, Sonia",SO-2,27.79,Cornell College Invitational,"Apr 2, 2022",1.2
,"McClure, Erica",FR-1,30.09,Midwest Conference Outdoor Championship,"May 13, 2022",-2.5
