0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Luther Sail Classic,"Sep 1, 2018",1,76,+4,t-5th/65
Wartburg Women's Fall Invite,"Sep 8-9, 2018",2,78-82=160,+16,t-29th/96
Illinois Wesleyan Fall Classic,"Sep 15-16, 2018",2,83-83=166,+22,t-49th/93
NCAA Division III National Preview,"Sep 24-25, 2018",2,77-81=158,+14,t-16th/5
Midwest Conference Championships,"Oct 6-7, 2018",2,95-84=179,+33,12th/31
WashU Invite,"Apr 6-7, 2019",2,89-79=168,+24,t-53rd/84
Kathy Niepagen Spring Fling,"Apr 13, 2019",1,78,+6,t-18th/92
UW-Whitewater Spring Fling,"Apr 19-20, 2019",2,87-87=174,+30,t-29th/0
2019 NCAA D-III National Championships,"May 14-17, 2019",4,88-84-89-78=339,+51,
SEASON TOTALS,SEASON TOTALS,18,1498 Avg. 83.2,+11,-
