0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Luther Sail Classic,"Sep 1, 2018",1,75,+3,4th/65
Wartburg Women's Fall Invite,"Sep 8-9, 2018",2,75-77=152,+8,9th/96
Illinois Wesleyan Fall Classic,"Sep 15-16, 2018",2,72-69=141,-3,1st/93
NCAA Division III National Preview,"Sep 24-25, 2018",2,76-76=152,+8,t-5th/5
Midwest Conference Championships,"Oct 6-7, 2018",2,81-75=156,+10,t-2nd/31
WashU Invite,"Apr 6-7, 2019",2,82-79=161,+17,34th/84
Kathy Niepagen Spring Fling,"Apr 13, 2019",1,79,+7,t-22nd/92
UW-Whitewater Spring Fling,"Apr 19-20, 2019",2,81-73=154,+10,t-3rd/0
2019 NCAA D-III National Championships,"May 14-17, 2019",4,76-73-80-83=312,+24,
SEASON TOTALS,SEASON TOTALS,18,1382 Avg. 76.8,+5,-
