0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Luther Sail Classic,"Sep 1, 2018",1,79,+7,t-13th/65
Wartburg Women's Fall Invite,"Sep 8-9, 2018",2,89-89=178,+34,t-64th/96
Illinois Wesleyan Fall Classic,"Sep 15-16, 2018",2,87-82=169,+25,t-57th/93
NCAA Division III National Preview,"Sep 24-25, 2018",2,96-92=188,+44,96th/5
Midwest Conference Championships,"Oct 6-7, 2018",2,95-91=186,+40,18th/31
WashU Invite,"Apr 6-7, 2019",2,95-88=183,+39,t-72nd/84
Kathy Niepagen Spring Fling,"Apr 13, 2019",1,94,+22,t-82nd/92
UW-Whitewater Spring Fling,"Apr 19-20, 2019",2,91-93=184,+40,44th/0
2019 NCAA D-III National Championships,"May 14-17, 2019",4,91-86-82-86=345,+57,
SEASON TOTALS,SEASON TOTALS,18,1606 Avg. 89.2,+17,-
