Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Warnock, Gavin",,6.71m,"22' 0.25""",Midwest Conference Championship,"May 13, 2011",4.0
,"Goldstein, Sam",SR-4,6.65m,"21' 10""",Midwest Conference Championship,"May 13, 2011",2.6
,"Hirakawa, Andy",SR,6.46m,"21' 2.5""",Midwest Conference Championship,"May 13, 2011",2.5
