Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Phillips, Scott",,22.98,Midwest Conference Championship,"May 13, 2011",1.0
,"Herrman, Davis",SR,23.13,Point Loma Collegiate Scoring Meet,"Mar 26, 2011",0.2
,"Banks, Quinton",,23.9,Point Loma Collegiate Scoring Meet,"Mar 26, 2011",0.2
,"Edwards, Ronald",,23.98,Kip Janvrin Open,"Apr 28, 2011",3.5
,"Singh, Harpreet",SR,24.08,Midwest Conference Championship,"May 13, 2011",2.9
,"Garwood, David",,24.82,2011 Jim Duncan Invitational,"Apr 15, 2011",2.4
,"Espinosa, Kyle",,27.85,Point Loma Collegiate Scoring Meet,"Mar 26, 2011",0.0
,"Hwang, In Wook",SR-4,28.58,Cornell Invitational,"Apr 9, 2011",-1.6
