Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Hanlon , May",FR-1,1.40m,"4' 7""",Emory Classic,"Mar 30, 2018"
,"Hanlon , May",FR-1,1.39m,"4' 6.75""",Cornell Invitational,"Apr 4, 2018"
,"Hanlon , May",FR-1,1.39m,"4' 6.75""",Midwest Conference Outdoor Championships,"May 11, 2018"
,"Hanlon , May",FR-1,1.38m,"4' 6.25""",2018 Dick Young Invite,"Apr 21, 2018"
,"Hanlon , May",FR-1,1.38m,"4' 6.25""",2018 Kip Janvrin Open,"Apr 26, 2018"
,"Hanlon , May",FR-1,1.35m,"4' 5""",Mustang Open,"Apr 13, 2018"
,"Hanlon , May",FR-1,1.34m,"4' 4.75""",Cornell Invitational,"Apr 4, 2018"
,"Hanlon , May",FR-1,1.33m,"4' 4.25""",2018 Kip Janvrin Open,"Apr 26, 2018"
,"Hanlon , May",FR-1,1.33m,"4' 4.25""",2018 Dick Young Invite,"Apr 21, 2018"
,"Hanlon , May",FR-1,1.30m,"4' 3.25""",Mustang Open,"Apr 13, 2018"
