""
IMAGE,NO.,NAME,CAPTAIN,POS.,B/T,HT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Emma Nelson,,OF,R/R,-,Fr.,"Stillwater, Minn. / Mahtomedi"
,8,Leila Bishop-Parise,,OF,L/R,5-7,Jr.,"Reno, Nev. / Robert McQueen"
,10,Amanda Ramirez,,P/UT,R/R,-,Fr.,"Monterey Park, Calif. / Flintridge Sacred Heart Academy"
,14,Haley Hoffman,,OF/C,R/R,5-4,Jr.,"St. Joseph, Mo. / Central"
,15,Mya Davis,,IF,R/R,5-8,Jr.,"Mesa, Ariz. / Red Mountain"
,16,Kaylie Eiden,,C/OF,R/R,5-6,Jr.,"Mount Kisco, N.Y. / Horace Greeley"
,17,Maddie Draper,,P,R/R,5-3,So.,"New York, N.Y. / Polytech Prep Country Day School"
,20,Flynn Johnson,,IF,R/R,5-7,Jr.,"Grayslake, Ill. / Carmel Catholic"
,21,Megan Gardner,,P/UT,R/R,6-0,Sr.,"Shoreview, Minn. / Mounds View"
,22,Mary Webb,,IF,R/R,-,Fr.,"Elgin, Ill. / St. Charles North"
