""
IMAGE,NO.,NAME,CAPTAIN,POS.,B/T,HT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Bella Nesbeth,,OF,R/R,5-7,Fr.,"Morrisville, N.C. / Cary Academy"
,2,Alexa Okada,,IF,L/R,5-3,Jr.,"Waipahu, Hawaii / Punahou School"
,3,Emma DiGiacomo-Zahller,,UT,R/R,5-6,Jr.,"Arvada, Colo. / J.K. Mullen"
,4,Hannah Dykstra,,OF/UT,L/R,5-4,So.,"Corona, Calif. / Santiago"
,5,Lizzy Vermeulen,,C,R/R,5-5,Jr.,"Evergreen, Colo. / Evergreen"
,8,Lane Kohler,,P/OF,R/R,5-8,So.,"Frisco, Texas / Dr. Justin Wakeland High"
,10,Amanda Ramirez,,IF,R/R,5-6,Sr.,"Monterey Park, Calif. / Flintridge Sacred Heart Academy"
,11,Kathryn Vermeulen,,P/OF,R/R,5-5,Jr.,"Evergreen, Colo. / Evergreen"
,12,Emma Nelson,,OF,R/R,5-8,Sr.,"Stillwater, Minn. / Mahtomedi"
,13,Kyra Killion,,C,R/R,5-3,Jr.,"Morton, Ill. / Morton"
,14,Emma Trani,,P,R/R,5-4,Fr.,"Wilmington, Calif. / Torrance"
,15,Christin Hartman,,P,R/R,5-8,Jr.,"Bettendorf, Iowa / Pleasant Valley"
,17,Jasmine Oda,,IF,R/L,5-6,So.,"San Carlos, Calif. / Sequoia"
,18,Sofia DiCarlo,,IF,R/R,5-10,So.,"Highland, Calif. / Citrus Valley"
,19,Maddy O'Bryan,,P/OF,R/R,5-4,Jr.,"Elkhorn, Neb. / Millard North"
,20,Anne Becker,,C,R/R,5-8,Fr.,"West Harrison, Ind. / Franklin County"
,22,Mary Webb,,IF,R/R,5-6,Sr.,"Elgin, Ill. / St. Charles North"
,23,Taylor Durak,,OF,R/R,5-10,Jr.,"Joliet, Ill. / Joliet Township West"
,26,Kambria Anson,,OF,L/R,5-6,Jr.,"Chandler, Ariz. / Chandler"
,88,Samantha Chu,,IF,R/R,5-5,Jr.,"Redwood City, Calif. / Carlmont"
