""
IMAGE,NO.,NAME,CAPTAIN,POS.,B/T,HT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Melissa Anderson,,MIF/P,R/R,5-7,So.,"Waukegan, Ill. / Waukegan"
,4,Andi Leff,,OF,R/R,5-5,So.,"Cherry Hill, N.J. / Cherry Hill East"
,7,Kristina Weber,,C/1B,R/R,5-9,Sr.,"Indianola, Iowa / Indianola"
,8,Sage Juveland,,OF,R/R,4-11,Jr.,"Naperville, Ill. / Fenwick"
,11,Megan Gibson,,P/UT,R/R,5-6,Jr.,"Fort Dodge, Iowa / Fort Dodge"
,14,Teresa Villarreal,,DH/1B,R/R,-,Jr.,"Carson, Calif. / Harbor Teacher Prep"
,16,Jordan Matosky,,2B/OF,L/L,5-5,Sr.,"Lafayette, Colo. / Centaurus"
,17,Maggie Remus,,P/1B,R/R,5-9,So.,"St. Charles, Ill. / Saint Francis Preparatory"
,18,Lydia Stariha,,C/SS,R/R,5-7,Jr.,"LaSalle, Ill. / Saint Bede Academy"
,22,Kayla Morrissey,,C/3B,R/R,5-10,So.,"Burr Ridge, Ill. / Lyons Township North"
,,Sarah Garringer,,,,5-11,So.,"Downers Grove, Ill. / Hinsdale South"
,,Courtney Petersen,,1B/P,,-,So.,"Montezuma, Iowa / Montezuma"
