""
IMAGE,NO.,NAME,CAPTAIN,POS.,B/T,HT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Melissa Anderson,,P/MIF,R/R,5-7,Jr.,"Waukegan, Ill. / Waukegan"
,4,Abigail Thomson,,OF,R/R,5-3,So.,"Boston, Mass. / Boston Latin School"
,5,Andi Leff,,OF,R/R,5-5,Jr.,"Cherry Hill, N.J. / Cherry Hill East"
,6,Lily Seibert,,UT,R/R,5-9,So.,"New York, N.Y. / Polytech Prep Country Day"
,8,Sage Juveland,,OF,R/R,4-11,Sr.,"Naperville, Ill. / Fenwick"
,9,Ashley Wehrenberg,,MIF/3B,R/R,-,So.,"Sacramento, Calif. / Pleasant Grove"
,10,Sidney Litke,,OF,R/R,5-8,So.,"Janesville, Wis. / George Parker"
,11,Megan Gibson,,UT/P,R/R,5-6,Sr.,"Fort Dodge, Iowa / Fort Dodge"
,12,Sydnee Brown,,OF,R/R,5-11,Fr.,"Chicago, Ill. / Von Steuben Metro Science Center"
,14,Mikyla Murphy,,P/1B,R/R,5-6,So.,"St. Joseph, MO. / Benton"
,15,Emily Jordan,,C/MIF,R/R,5-5,So.,"Phoenix, Ariz. / Xavier College Preparatory"
,17,Maggie Remus,,P/1B,R/R,5-9,Jr.,"St. Charles, Ill. / Saint Francis Preparatory"
,18,Lydia Stariha,,C/SS,R/R,5-7,Sr.,"LaSalle, Ill. / Saint Bede Academy"
,21,Megan Gardner,,C,R/R,5-11,Fr.,"Shoreview, Minn. / Mounds View"
,22,Kayla Morrissey,,3B,R/R,5-10,Jr.,"Burr Ridge, Ill. / Lyons Township North"
