Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Lindstrom, Jake",SR-4,4.43m,"14' 6.25""",2014 Midwest Conference T&F Championships,"May 9, 2014"
,"Lindstrom, Jake",SR-4,4.40m,"14' 5.25""",2014 Kip Janvrin Open,"Apr 24, 2014"
,"Lindstrom, Jake",SR-4,4.39m,"14' 4.75""",Wartburg Outdoor Twilight,"Apr 22, 2014"
,"Lindstrom, Jake",SR-4,4.30m,"14' 1.25""",2014 Monmouth Fighting Scots Outdoor,"May 3, 2014"
,"Lindstrom, Jake",SR-4,4.25m,"13' 11.25""",2014 Kip Janvrin Open,"Apr 24, 2014"
,"Lindstrom, Jake",SR-4,4.24m,"13' 11""",Wartburg Outdoor Twilight,"Apr 22, 2014"
,"Lindstrom, Jake",SR-4,4.10m,"13' 5.25""",Cornell College Invitational,"Apr 5, 2014"
,"Lindstrom, Jake",SR-4,4.10m,"13' 5.25""",2014 Jim Duncan Invitational,"Apr 11, 2014"
,"Lindstrom, Jake",SR-4,4.05m,"13' 3.5""",Central College Open,"Apr 16, 2014"
,"Lindstrom, Jake",SR-4,3.95m,"12' 11.5""",Cornell College Invitational,"Apr 5, 2014"
,"Lindstrom, Jake",SR-4,3.95m,"12' 11.5""",2014 Jim Duncan Invitational,"Apr 11, 2014"
,"Hernandez, Luis",JR-3,3.30m,"10' 10""",Central College Open,"Apr 16, 2014"
,"Hernandez, Luis",JR-3,3.20m,"10' 6""",Cornell College Invitational,"Apr 5, 2014"
,"Hernandez, Luis",JR-3,3.20m,"10' 6""",2014 Kip Janvrin Open,"Apr 24, 2014"
,"Hernandez, Luis",JR-3,3.19m,"10' 5.5""",Wartburg Outdoor Twilight,"Apr 22, 2014"
,"Hernandez, Luis",JR-3,3.05m,"10' 0""",2014 Kip Janvrin Open,"Apr 24, 2014"
,"Hernandez, Luis",JR-3,3.05m,"10' 0""",Cornell College Invitational,"Apr 5, 2014"
,"Hernandez, Luis",JR-3,3.04m,"9' 11.75""",Wartburg Outdoor Twilight,"Apr 22, 2014"
