#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
1.0,"Allison, Grayson 1Allison, Grayson",3,2,225:00,3,1.2,9,0.75,1.0,1.0,0.0,1,21,View Bio
0.0,"Dixon, Peyton 0Dixon, Peyton",15,15,1305:00,20,1.38,54,0.73,7.0,5.0,3.0,6,138,View Bio
,Total,17,-,1530:00,23,1.35,63,0.733,8.0,6.0,3.0,7,159,
,Opponents,17,-,1530:00,22,1.29,64,0.744,,,,7,170,
