Statistic,Grinnell,Opponents OPP
Shots,Shots,Shots
Goals G,22,23
Goals Per Game G/AVG,1.29,1.35
Shots SH,170,159
Shots Per Game SH/AVG,10.0,9.4
Shots Percentage SH%,0.129,0.145
Shots On Goal SOG,87-170,92-159
Shots On Goal Percentage SOG%,0.512,0.579
Penalties,Penalties,Penalties
Yellow Cards YC,5,9
Red Cards RC,0,0
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,11,19
Saves S,69,65
Fouls F,111,131
Corner Kicks CK,71,66
Penalty Kicks: Goals-Attempts PG-PA,1-1,1-1
