#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
22.0,"Delborne, Ramona 22Delborne, Ramona",15,9,791,4,5,13,21,0.19,10,0.476,0-0,2,0-0,View Bio
21.0,"Komsthoeft, Reese 21Komsthoeft, Reese",15,14,904,4,1,9,22,0.182,13,0.591,0-0,1,0-0,View Bio
12.0,"Swaim, Campbell 12Swaim, Campbell",17,8,805,4,1,9,18,0.222,11,0.611,0-0,0,0-0,View Bio
20.0,"Mozena, Maya 20Mozena, Maya",17,17,1130,3,0,6,17,0.176,8,0.471,0-0,2,0-0,View Bio
18.0,"Carson, Katie 18Carson, Katie",16,11,895,2,0,4,18,0.111,7,0.389,0-0,1,0-0,View Bio
19.0,"Joshi, Rama 19Joshi, Rama",17,13,642,2,0,4,22,0.091,13,0.591,0-0,2,0-0,View Bio
26.0,"Dueñas, Amelia 26Dueñas, Amelia",15,6,702,1,1,3,9,0.111,5,0.556,1-0,0,0-0,View Bio
5.0,"Beltramo, Maddie 5Beltramo, Maddie",15,12,1133,1,0,2,3,0.333,2,0.667,2-0,0,1-1,View Bio
3.0,"Travis, Sarah 3Travis, Sarah",17,17,1517,1,0,2,5,0.2,2,0.4,0-0,0,0-0,View Bio
9.0,"Marlin, Julia 9Marlin, Julia",5,0,67,0,1,1,1,0.0,0,0.0,0-0,0,0-0,View Bio
25.0,"Roesler, Emily 25Roesler, Emily",17,1,707,0,1,1,2,0.0,0,0.0,0-0,0,0-0,View Bio
17.0,"Thomas, Tori 17Thomas, Tori",17,6,494,0,1,1,1,0.0,1,1.0,0-0,0,0-0,View Bio
1.0,"Allison, Grayson 1Allison, Grayson",3,2,225,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
24.0,"Bambi, Giada 24Bambi, Giada",17,17,1443,0,0,0,12,0.0,7,0.583,0-0,0,0-0,View Bio
14.0,"Curtin, Anna 14Curtin, Anna",11,2,346,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
0.0,"Dixon, Peyton 0Dixon, Peyton",15,15,1305,0,0,0,0,0.0,0,0.0,1-0,0,0-0,View Bio
6.0,"Hunt, Ella 6Hunt, Ella",17,11,1048,0,0,0,12,0.0,5,0.417,1-0,0,0-0,View Bio
2.0,"Kunzman, Zoe 2Kunzman, Zoe",17,6,843,0,0,0,2,0.0,2,1.0,0-0,0,0-0,View Bio
16.0,"Leahy, Tessa 16Leahy, Tessa",17,17,1378,0,0,0,3,0.0,1,0.333,0-0,0,0-0,View Bio
10.0,"Marquardt, Maya 10Marquardt, Maya",9,0,129,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
15.0,"Stebbins, Julia 15Stebbins, Julia",1,0,12,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
13.0,"Sundaram, Gia 13Sundaram, Gia",5,1,194,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
8.0,"VanRheenen, Beya 8VanRheenen, Beya",2,2,120,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
,Total,17,-,16830,22,11,55,170,0.129,87,0.512,5-0,8,1-1,
,Opponent,17,-,16832,23,19,65,159,0.145,92,0.579,9-0,6,1-1,
