Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
08/30/2024,vs Dubuque,0-3,0/3,0/3,8/23,0/10,1/7,0/0,0/0
09/01/2024,vs Coe,3-0,3/0,2/0,9/0,7/0,7/0,0/1,0/0
09/06/2024,vs Mt. Mercy,2-1,2/1,1/2,15/12,8/9,3/5,0/1,0/0
09/08/2024,at Saint Mary's (MN),0-0,0/0,0/0,4/6,2/3,2/3,0/0,0/0
09/11/2024,vs Simpson,0-4,0/4,0/3,0/16,0/8,0/6,0/0,0/0
09/14/2024,vs Benedictine (IL),4-0,4/0,2/0,21/2,5/0,11/2,1/2,0/0
09/28/2024,vs Lake Forest,0-4,0/4,0/3,3/14,1/12,0/6,1/0,0/0
10/02/2024,vs Knox,2-0,2/0,2/0,15/3,6/1,12/0,0/0,0/0
10/05/2024,at Ripon,2-1,2/1,1/0,15/5,11/2,7/3,1/2,0/0
10/06/2024,at Edgewood College,0-1,0/1,0/1,1/9,1/7,4/2,0/1,0/0
10/12/2024,at Illinois Col.,1-0,1/0,0/0,7/12,5/4,6/8,1/0,0/0
10/19/2024,at Augustana (IL),1-1,1/1,0/1,7/11,4/7,3/2,0/1,0/0
10/22/2024,vs Cornell College,5-0,5/0,3/0,24/1,15/1,7/1,0/0,0/0
10/26/2024,vs Beloit,1-0,1/0,0/0,11/2,6/1,2/2,1/0,0/0
10/30/2024,at Monmouth (IL),1-1,1/1,0/1,23/9,11/4,2/4,0/0,0/0
11/02/2024,at Lawrence,0-6,0/6,0/4,6/21,5/13,2/7,0/0,0/0
11/08/2024,at Lawrence,0-1,0/1,0/1,1/13,0/10,2/8,0/1,0/0
Totals,,,22/23,11/19,170/159,87/92,71/66,5/9,0/0
