Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
08/30/2024,vs Dubuque,L,0-3,"(0-1-0, 0-0-0)",0-0-0,80,
09/01/2024,vs Coe,W,3-0,"(1-1-0, 0-0-0)",0-0-0,100,Maya Mozena (1) (Tori Thomas)  Reese Komsthoeft (1) Amelia Duenas (1) (Julia Marlin)
09/06/2024,vs Mt. Mercy,W,2-1,"(2-1-0, 0-0-0)",0-0-0,63,Maddie Beltramo (0) Maya Mozena (2) (Ramona Delborne)
09/08/2024,at Saint Mary's (MN),T,0-0,"(2-1-1, 0-0-0)",0-0-0,112,
09/11/2024,vs Simpson,L,0-4,"(2-2-1, 0-0-0)",0-0-0,50,
09/14/2024,vs Benedictine (IL),W,4-0,"(3-2-1, 0-0-0)",0-0-0,50,Katie Carson (1) Campbell Swaim (2) (Ramona Delborne)  Campbell Swaim (2) (Ramona Delborne)  Sarah Travis (1)
09/28/2024,vs Lake Forest,L,0-4,"(3-3-1, 0-1-0)",0-1-0,95,
10/02/2024,vs Knox,W,2-0,"(4-3-1, 1-1-0)",1-1-0,72,Rama Joshi (1) (Campbell Swaim)  Maya Mozena (3) (Ramona Delborne)
10/05/2024,at Ripon,W,2-1,"(5-3-1, 2-1-0)",2-1-0,150,Reese Komsthoeft (2) Ramona Delborne (1) (Reese Komsthoeft)
10/06/2024,at Edgewood College,L,0-1,"(5-4-1, 2-1-0)",2-1-0,164,
10/12/2024,at Illinois Col.,W,1-0,"(6-4-1, 3-1-0)",3-1-0,250,Rama Joshi (2)
10/19/2024,at Augustana (IL),T,1-1,"(6-4-2, 3-1-0)",3-1-0,167,Katie Carson (2)
10/22/2024,vs Cornell College,W,5-0,"(7-4-2, 4-1-0)",4-1-0,87,Ramona Delborne (3) Campbell Swaim (4) (Emily Roesler)  Reese Komsthoeft (3) (Ramona Delborne)  Ramona Delborne (3) (Amelia Duenas)  Campbell Swaim (4)
10/26/2024,vs Beloit,W,1-0,"(8-4-2, 5-1-0)",5-1-0,80,Reese Komsthoeft (4)
10/30/2024,at Monmouth (IL),T,1-1,"(8-4-3, 5-1-1)",5-1-1,60,Ramona Delborne (4)
11/02/2024,at Lawrence,L,0-6,"(8-5-3, 5-2-1)",5-2-1,365,
11/08/2024,at Lawrence,L,0-1,"(8-6-3, 5-2-1)",5-2-1,97,
