Statistic,High,Opponent
POINTS,13,Cornell College (10/22/2024)
GOALS,5,Cornell College (10/22/2024)
ASSISTS,3,Cornell College (10/22/2024)
SHOTS,24,Cornell College (10/22/2024)
SHOTS ON GOAL,15,Cornell College (10/22/2024)
SAVES,8,Lawrence (11/08/2024)
FOULS,13,Monmouth (IL) (10/30/2024)
CORNER KICKS,12,Knox (10/02/2024)
