#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
1.0,"Allison, Grayson 1Allison, Grayson",1,0,45:00,2,4.0,3,0.6,0.0,0.0,0.0,0,10,View Bio
0.0,"Dixon, Peyton 0Dixon, Peyton",8,8,675:00,10,1.33,20,0.667,5.0,2.0,1.0,4,57,View Bio
,Total,8,-,720:00,12,1.5,23,0.657,5.0,2.0,1.0,4,67,
,Opponents,8,-,720:00,12,1.5,48,0.8,,,,2,104,
